Cset,Phase,ConclusionRaw,Difficulty,Comparability,ConclusionClass,Cset,Type,Assigns (Baseline),Assigns (Baseline+Repeat),Assigns (total),Q1 Quality (Voted),Q2 Quality (Voted),Cset Quality (voted),Q1 Quality (prescreen),Q2 Quality (prescreen),Cset Quality (prescreen),Subsession  Q2-K3,Intervening bullets (min),Intervening bullets (max),Cset Category (Detailed),Caliber Q1,Caliber Q2-K3
KQ1060,Primary (Baseline),ID,Easy,HiRepro,Match,KQ1060,KQ,3,3,3,B,,A:B,G,,G,20190320C_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1767,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ1767,KQ,3,3,3,B,,A:B,G,,G,20190412E_1,,,"Diff Model, JHP",038,038
KQ1833,Primary (Baseline),Excl,VEasy,HiRepro,NonMatch,KQ1833,KQ,3,3,3,A,,A:A,P,,P,20190618J_1,,,"Diff Make, FMJ",9ML,9ML
KQ2741,Primary (Baseline),Excl,Easy,HiRepro,NonMatch,KQ2741,KQ,3,3,3,B,,A:B,G,,G,20190618M_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3253,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ3253,KQ,3,3,3,A,,A:A,P,,P,20190508L_1,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ3477,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ3477,KQ,3,3,3,A,,A:A,P,,P,20190618P_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3859,Primary (Baseline),LeanExcl,Diff,ModRepro,NonMatch,KQ3859,KQ,3,3,3,B,,A:B,G,,G,20190501I_3,,,"Same Model, Diff Sess, JHP",038,038
KQ4156,Primary (Baseline),LeanID,VDiff,HiRepro,Match,KQ4156,KQ,3,3,3,B,,A:B,G,,G,20190621B_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ4277,Primary (Baseline),ID,Norm,HiRepro,Match,KQ4277,KQ,3,3,3,A,,A:A,P,,P,20190415F_0,40.0,58.0,"Same Model, Diff Sess, JHP",038,038
KQ4699,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ4699,KQ,3,3,3,B,,A:B,B,,B,20190501Q_0,,,"Same Model, Diff Sess, FMJ",040,040
KQ1060,Primary (Baseline),ID,Norm,HiRepro,Match,KQ1060,KQ,3,3,3,B,,A:B,G,,G,20190320C_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1486,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ1486,KQ,3,3,3,A,,A:A,P,,P,20190320D_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ1578,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ1578,KQ,3,3,3,A,,A:A,P,,P,20190508R_3,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ1723,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ1723,KQ,1,1,1,B,,A:B,G,,G,20190416A_1,,,"Diff Make, FMJ",038,038
KQ1759,Primary (Baseline),ID,Norm,ModRepro,Match,KQ1759,KQ,3,3,3,C,,A:C,B,,B,20190507P_1,0.0,18.0,"Same Model, Same Sess, FMJ, Poor quality",9ML,9ML
KQ1767,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ1767,KQ,3,3,3,B,,A:B,G,,G,20190412E_1,,,"Diff Model, JHP",038,038
KQ1797,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ1797,KQ,3,4,4,C,,A:C,B,,B,20190618J_0,,,"Diff Make, FMJ, Poor quality",9ML,9ML
KQ1875,Primary (Baseline),ID,Norm,ModRepro,Match,KQ1875,KQ,3,3,3,A,,A:A,P,,P,20190621S_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ2180,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ2180,KQ,3,3,3,B,,A:B,G,,G,20190618J_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2225,Primary (Baseline),ID,Norm,ModRepro,Match,KQ2225,KQ,3,3,3,C,,A:C,U,,U,20190415D_1,0.0,8.0,"Same Model, Same SubSess, FMJ, Poor quality",038,038
KQ2238,Primary (Baseline),Insuff,Norm,HiRepro,Inconclusive,KQ2238,KQ,1,1,1,B,,A:B,G,,G,20190412I_1,,,"Diff Model, JHP",038,038
KQ2602,Primary (Baseline),ID,Norm,ModRepro,Match,KQ2602,KQ,2,2,4,B,,A:B,B,,B,20190507C_1,,,"Same Model, Diff Sess, JHP",040,040
KQ2684,Primary (Baseline),Excl,Norm,LowRepro,NonMatch,KQ2684,KQ,3,4,4,A,,A:A,P,,P,20190416F_1,,,"Diff Make, JHP",038,038
KQ2689,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ2689,KQ,1,1,1,B,,A:B,G,,G,20190621M_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
