Cset,Phase,ConclusionRaw,Difficulty,ConclusionClass,Cset,Type,Assigns (Baseline),Assigns (Baseline+Repeat),Assigns (total),Q1 Quality (Voted),Q2 Quality (Voted),Cset Quality (voted),Q1 Quality (prescreen),Q2 Quality (prescreen),Cset Quality (prescreen),Subsession  Q2-K3,Intervening bullets (min),Intervening bullets (max),Cset Category (Detailed),Caliber Q1,Caliber Q2-K3
QQ5076,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5076,QQ,3,3,3,A,C,A:C,P,G,PG,20190404A_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ5179,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ5179,QQ,3,3,3,B,B,B:B,G,G,GG,20190412S_0,,,"Diff Model, FMJ",038,038
QQ5218,Primary (Baseline),NoValue,na,Inconclusive,QQ5218,QQ,3,3,3,A,B,A:B,P,G,PG,20190507M_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ6155,Primary (Baseline),ID,Norm,Match,QQ6155,QQ,3,3,3,A,B,A:B,P,G,PG,20190501F_1,20.0,38.0,"Same Model, Diff Sess, JHP",038,038
QQ7383,Primary (Baseline),Excl,VEasy,NonMatch,QQ7383,QQ,3,3,3,A,A,A:A,P,P,PP,20190621U_1,,,"Diff Model, FMJ-JHP",9ML,9ML
QQ7556,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ7556,QQ,3,3,3,B,B,B:B,G,G,GG,20190412I_4,40.0,58.0,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ7644,Primary (Baseline),ID,Norm,Match,QQ7644,QQ,3,3,3,B,B,B:B,G,G,GG,20190412U_2,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
QQ8231,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ8231,QQ,3,3,3,A,A,A:A,P,P,PP,20190508A_0,,,"Diff Make, FMJ",9ML,9ML
QQ8351,Primary (Baseline),LeanExcl,Easy,NonMatch,QQ8351,QQ,3,3,3,A,A,A:A,P,P,PP,20190618I_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ8616,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ8616,QQ,3,3,3,A,B,A:B,P,G,PG,20190415H_0,,,"Same Model, Diff Sess, FMJ",038,038
QQ5015,Primary (Baseline),Excl,Norm,NonMatch,QQ5015,QQ,3,3,3,A,B,A:B,P,G,PG,20190320F_3,,,"Diff Model, FMJ-JHP",9ML,9ML
QQ5035,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5035,QQ,3,3,3,A,A,A:A,P,P,PP,20190507E_4,,,"Same Model, Diff Sess, FMJ",040,040
QQ5061,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5061,QQ,3,3,3,A,B,A:B,P,G,PG,20190416A_3,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ5076,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5076,QQ,3,3,3,A,C,A:C,P,G,PG,20190404A_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ5094,Primary (Baseline),LeanID,Norm,Match,QQ5094,QQ,3,3,3,A,A,A:A,P,P,PP,20190507B_3,30.0,48.0,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ5179,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5179,QQ,3,3,3,B,B,B:B,G,G,GG,20190412S_0,,,"Diff Model, FMJ",038,038
QQ5218,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5218,QQ,3,3,3,A,B,A:B,P,G,PG,20190507M_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ5329,Primary (Baseline),Excl,Easy,NonMatch,QQ5329,QQ,3,3,3,B,B,B:B,G,G,GG,20190412S_1,,,"Diff Make, FMJ",038,038
QQ5357,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5357,QQ,2,2,4,B,B,B:B,G,G,GG,20190416H_0,50.0,68.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ5510,Primary (Baseline),ID,Norm,Match,QQ5510,QQ,2,2,2,B,B,B:B,G,G,GG,20190618G_2,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ5523,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5523,QQ,1,1,1,B,B,B:B,G,G,GG,20190501L_2,,,"Same Model, Diff Sess, JHP",040,040
QQ5567,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5567,QQ,3,3,3,B,C,B:C,G,G,GG,20190415G_1,,,"Same Model, Diff Sess, FMJ",038,038
QQ5812,Primary (Baseline),ID,Norm,Match,QQ5812,QQ,3,3,3,B,B,B:B,G,G,GG,20190412F_4,40.0,58.0,"Same Model, Diff Sess, JHP",038,038
QQ5882,Primary (Baseline),Excl,Easy,NonMatch,QQ5882,QQ,2,2,2,A,B,A:B,P,G,PG,20190508I_2,,,"Diff Make, FMJ-JHP",9ML,9ML
QQ5935,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5935,QQ,2,2,2,A,A,A:A,P,P,PP,20190621S_0,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ5967,Primary (Baseline),LeanID,Norm,Match,QQ5967,QQ,3,3,3,A,B,A:B,P,G,PG,20190415J_3,,,"Diff Model, JHP",038,038
QQ5984,Primary (Baseline),ID,Norm,Match,QQ5984,QQ,1,1,1,A,A,A:A,P,P,PP,20190412U_4,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
QQ6132,Primary (Baseline),Excl,Easy,NonMatch,QQ6132,QQ,2,2,2,A,A,A:A,P,P,PP,20190501D_4,,,"Diff Caliber, FMJ",9ML,038
QQ6754,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6754,QQ,3,3,3,B,B,B:B,G,G,GG,20190416D_4,,,"Same Model, Diff Sess, FMJ",038,038
QQ6964,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6964,QQ,1,1,1,B,A,A:B,G,P,PG,20190501C_3,30.0,48.0,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ7306,Primary (Baseline),LeanID,Norm,Match,QQ7306,QQ,3,3,4,A,B,A:B,P,G,PG,20190618A_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ7383,Primary (Baseline),Excl,Norm,NonMatch,QQ7383,QQ,3,3,3,A,A,A:A,P,P,PP,20190621U_1,,,"Diff Model, FMJ-JHP",9ML,9ML
QQ7426,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ7426,QQ,3,3,3,A,A,A:A,P,P,PP,20190508H_2,,,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ8021,Primary (Baseline),ID,Norm,Match,QQ8021,QQ,3,4,4,A,B,A:B,P,G,PG,20190508I_1,30.0,48.0,"Same Model, Diff Sess, JHP",9ML,9ML
QQ8054,Primary (Baseline),ID,Norm,Match,QQ8054,QQ,3,4,4,B,B,B:B,G,G,GG,20190320C_4,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
QQ8101,Primary (Baseline),Excl,Easy,NonMatch,QQ8101,QQ,1,1,1,A,B,A:B,P,G,PG,20190621J_1,,,"Diff Caliber, FMJ",038,9ML
QQ8227,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8227,QQ,3,4,4,B,B,B:B,G,G,GG,20190415J_4,50.0,68.0,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ8231,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8231,QQ,3,3,3,A,A,A:A,P,P,PP,20190508A_0,,,"Diff Make, FMJ",9ML,9ML
QQ8258,Primary (Baseline),Excl,Norm,NonMatch,QQ8258,QQ,3,3,3,A,A,A:A,P,P,PP,20190621P_1,,,"Diff Make, JHP-FMJ",9ML,9ML
QQ8295,Primary (Baseline),ID,Norm,Match,QQ8295,QQ,3,3,3,A,A,A:A,P,P,PP,20190618I_2,60.0,78.0,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ8410,Primary (Baseline),ID,Norm,Match,QQ8410,QQ,3,3,3,A,B,A:B,P,G,PG,20190501O_1,0.0,8.0,"Same Model, Same SubSess, JHP",040,040
QQ8416,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8416,QQ,3,4,4,A,B,A:B,P,G,PG,20190621U_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ8421,Primary (Baseline),Excl,Norm,NonMatch,QQ8421,QQ,3,3,3,B,B,B:B,G,G,GG,20190501P_4,,,"Diff Caliber, JHP-FMJ",9ML,040
QQ8590,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8590,QQ,1,1,1,B,B,B:B,G,G,GG,20190404D_1,,,"Diff Make, JHP",9ML,9ML
QQ8594,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8594,QQ,3,4,4,A,A,A:A,P,P,PP,20190508B_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ5065,Supplemental,Insuff,Norm,Inconclusive,QQ5065,QQ,1,1,4,B,B,B:B,G,G,GG,20190412J_4,,,"Same Model, Diff Sess, FMJ",038,038
QQ5443,Primary (Baseline),Excl,Easy,NonMatch,QQ5443,QQ,1,1,1,B,C,B:C,G,G,GG,20190117C_2,,,"Diff Caliber, FMJ",038,9ML
QQ5665,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5665,QQ,3,3,3,A,A,A:A,P,P,PP,20190415R_1,,,"Same Model, Diff Sess, FMJ",038,038
QQ5719,Supplemental,Insuff,Norm,Inconclusive,QQ5719,QQ,1,1,4,B,B,B:B,G,G,GG,20190415A_2,90.0,108.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ5776,Supplemental,Insuff,Diff,Inconclusive,QQ5776,QQ,3,3,4,A,C,A:C,P,G,PG,20190621U_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ5973,Supplemental,LeanExcl,Norm,NonMatch,QQ5973,QQ,3,3,4,B,B,B:B,G,G,GG,20190621W_4,60.0,78.0,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ5989,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5989,QQ,3,3,3,A,B,A:B,P,G,PG,20190415I_4,,,"Diff Make, JHP",038,038
QQ6024,Primary (Baseline),Excl,VEasy,NonMatch,QQ6024,QQ,3,3,3,A,A,A:A,P,P,PP,20190621O_3,,,"Diff Model, JHP",9ML,9ML
QQ6208,Primary (Baseline),Excl,Norm,NonMatch,QQ6208,QQ,1,1,1,A,C,A:C,P,G,PG,20190618J_1,,,"Diff Model, FMJ",9ML,9ML
QQ6300,Primary (Baseline),ID,Diff,Match,QQ6300,QQ,3,3,3,B,A,A:B,G,P,PG,20190501R_4,0.0,8.0,"Same Model, Same SubSess, JHP",040,040
QQ6380,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6380,QQ,3,3,3,B,B,B:B,G,G,GG,20190416E_2,,,"Same Model, Diff Sess, JHP",038,038
QQ6382,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6382,QQ,3,3,3,A,C,A:C,P,G,PG,20190501R_3,,,"Same Model, Diff Sess, JHP",040,040
QQ6411,Primary (Baseline),ID,Norm,Match,QQ6411,QQ,3,3,3,A,A,A:A,P,P,PP,20190501L_2,60.0,78.0,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ6471,Primary (Baseline),ID,Diff,Match,QQ6471,QQ,3,3,3,B,B,B:B,G,G,GG,20190508C_0,30.0,48.0,"Same Model, Diff Sess, JHP",9ML,9ML
QQ6532,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6532,QQ,3,4,4,A,A,A:A,P,P,PP,20190508C_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ6590,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ6590,QQ,3,4,4,A,A,A:A,G,G,GG,20190412J_0,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ6714,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ6714,QQ,3,3,3,B,B,B:B,G,G,GG,20190412I_3,,,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ6730,Primary (Baseline),Excl,Easy,NonMatch,QQ6730,QQ,1,1,1,B,B,B:B,P,P,PP,20190618C_2,,,"Diff Make, FMJ-JHP",9ML,9ML
QQ6802,Supplemental,Insuff,Diff,Inconclusive,QQ6802,QQ,3,3,4,C,C,C:C,G,G,GG,20190621A_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ6843,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6843,QQ,3,4,4,B,B,B:B,G,G,GG,20190621Q_2,40.0,58.0,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ7004,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7004,QQ,1,1,1,C,C,C:C,G,G,GG,20190415Q_1,,,"Diff Make, FMJ",038,038
QQ7016,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7016,QQ,1,1,1,A,B,A:B,P,G,PG,20190415C_2,,,"Diff Model, JHP",038,038
QQ7032,Primary (Baseline),Excl,Norm,NonMatch,QQ7032,QQ,1,1,1,A,A,A:A,P,P,PP,20190320A_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ7161,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7161,QQ,3,3,3,A,A,A:A,P,P,PP,20190507E_0,,,"Same Model, Diff Sess, FMJ",040,040
QQ7191,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7191,QQ,1,1,1,C,C,C:C,G,G,GG,20190415N_3,,,"Same Model, Diff Sess, FMJ",038,038
QQ7244,Primary (Baseline),Excl,Easy,NonMatch,QQ7244,QQ,3,3,3,B,B,B:B,G,G,GG,20190618F_2,,,"Diff Model, JHP",9ML,9ML
QQ7284,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7284,QQ,1,1,1,A,B,A:B,P,G,PG,20190507F_0,,,"Same Model, Diff Sess, JHP",040,040
QQ7585,Primary (Baseline),ID,Norm,Match,QQ7585,QQ,1,1,1,A,A,A:A,P,P,PP,20190618D_1,60.0,78.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ7626,Primary (Baseline),ID,Easy,Match,QQ7626,QQ,1,1,1,B,A,A:B,G,P,PG,20190320D_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ7645,Supplemental,Insuff,Norm,Inconclusive,QQ7645,QQ,1,1,4,A,B,A:B,P,G,PG,20190621W_1,30.0,48.0,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ7723,Primary (Baseline),ID,Easy,Match,QQ7723,QQ,3,3,3,A,A,A:A,P,P,PP,20190501F_3,70.0,88.0,"Same Model, Diff Sess, JHP",038,038
QQ8172,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ8172,QQ,3,3,4,B,A,A:B,G,P,PG,20190412D_3,70.0,88.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ8307,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8307,QQ,3,3,3,C,C,C:C,G,G,GG,20190117A_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ8503,Primary (Baseline),Excl,VEasy,NonMatch,QQ8503,QQ,3,4,4,A,A,A:A,P,P,PP,20190501K_2,,,"Diff Caliber, JHP-FMJ",9ML,040
QQ8633,Primary (Baseline),ID,Easy,Match,QQ8633,QQ,3,3,3,A,A,A:A,P,P,PP,20190618F_4,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
QQ8923,Primary (Baseline),Excl,Norm,NonMatch,QQ8923,QQ,3,4,4,A,B,A:B,P,G,PG,20190117C_3,,,"Diff Make, JHP-FMJ",9ML,9ML
QQ5036,Primary (Baseline),Excl,Norm,NonMatch,QQ5036,QQ,3,3,3,A,B,A:B,P,G,PG,20190621Q_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ5039,Primary (Baseline),Excl,Norm,NonMatch,QQ5039,QQ,3,3,3,A,B,A:B,P,G,PG,20190415G_2,,,"Diff Make, FMJ",038,038
QQ5062,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ5062,QQ,3,3,3,B,B,B:B,G,G,GG,20190415R_0,,,"Diff Make, FMJ",038,038
QQ5169,Primary (Baseline),Excl,Diff,NonMatch,QQ5169,QQ,3,3,3,A,B,A:B,P,G,PG,20190404E_0,,,"Diff Model, FMJ-JHP",9ML,9ML
QQ5236,Primary (Baseline),ID,Norm,Match,QQ5236,QQ,3,3,3,C,C,C:C,G,G,GG,20190621V_3,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ5283,Primary (Baseline),Excl,Norm,NonMatch,QQ5283,QQ,3,3,3,B,B,B:B,G,G,GG,20190416I_4,,,"Same Model, Diff Sess, JHP",038,038
QQ5473,Primary (Baseline),Excl,Norm,NonMatch,QQ5473,QQ,3,3,3,A,A,A:A,P,P,PP,20190621A_3,,,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ5480,Primary (2nd assignments),Excl,Norm,NonMatch,QQ5480,QQ,3,5,5,A,B,A:B,P,G,PG,20190621W_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
QQ5480,Primary (Baseline),ID,Diff,Match,QQ5480,QQ,3,5,5,A,B,A:B,P,G,PG,20190621W_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
QQ5488,Primary (Baseline),Excl,Norm,NonMatch,QQ5488,QQ,3,3,3,A,A,A:A,P,G,PG,20190621U_1,,,"Diff Model, JHP",9ML,9ML
QQ5513,Primary (Baseline),Excl,Norm,NonMatch,QQ5513,QQ,3,3,3,A,A,A:A,P,P,PP,20190117A_3,,,"Diff Model, FMJ",9ML,9ML
QQ5552,Primary (2nd assignments),Excl,Norm,NonMatch,QQ5552,QQ,3,5,5,A,A,A:A,P,P,PP,20190412L_4,,,"Same Model, Diff Sess, JHP",038,038
QQ5552,Primary (Baseline),Excl,Norm,NonMatch,QQ5552,QQ,3,5,5,A,A,A:A,P,P,PP,20190412L_4,,,"Same Model, Diff Sess, JHP",038,038
QQ5555,Primary (Baseline),Excl,Norm,NonMatch,QQ5555,QQ,3,3,3,A,A,A:A,P,P,PP,20190621V_2,,,"Diff Model, FMJ",9ML,9ML
QQ5558,Primary (Baseline),Excl,Norm,NonMatch,QQ5558,QQ,3,3,3,B,B,B:B,G,G,GG,20190415B_0,,,"Diff Model, JHP",038,038
QQ5599,Primary (Baseline),ID,Norm,Match,QQ5599,QQ,3,3,3,A,A,A:A,P,P,PP,20190412F_4,40.0,58.0,"Same Model, Diff Sess, JHP",038,038
QQ5680,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ5680,QQ,3,3,3,B,B,B:B,G,G,GG,20190507D_0,,,"Same Model, Diff Sess, JHP-FMJ",040,040
QQ5702,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ5702,QQ,3,3,3,B,B,B:B,G,G,GG,20190412H_3,20.0,38.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ5746,Primary (Baseline),ID,Norm,Match,QQ5746,QQ,3,3,3,A,A,A:A,P,P,PP,20190501R_1,0.0,8.0,"Same Model, Same SubSess, JHP",040,040
QQ5930,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ5930,QQ,3,3,3,A,B,A:B,P,G,PG,20190507E_2,30.0,48.0,"Same Model, Diff Sess, FMJ",040,040
QQ6009,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ6009,QQ,3,3,3,A,B,A:B,P,G,PG,20190412P_1,90.0,108.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ6100,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ6100,QQ,3,3,3,A,B,A:B,P,G,PG,20190507O_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ6168,Primary (Baseline),Excl,Norm,NonMatch,QQ6168,QQ,3,3,3,A,A,A:A,P,P,PP,20190117C_1,,,"Diff Make, JHP-FMJ",9ML,9ML
QQ6224,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ6224,QQ,3,3,3,A,A,A:A,P,P,PP,20190507D_4,,,"Same Model, Diff Sess, FMJ",040,040
QQ6239,Primary (2nd assignments),Insuff,Diff,Inconclusive,QQ6239,QQ,3,5,5,B,B,B:B,G,G,GG,20190415D_3,,,"Same Model, Diff Sess, FMJ",038,038
QQ6239,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6239,QQ,3,5,5,B,B,B:B,G,G,GG,20190415D_3,,,"Same Model, Diff Sess, FMJ",038,038
QQ6285,Primary (Baseline),Excl,Norm,NonMatch,QQ6285,QQ,3,3,3,A,A,A:A,P,P,PP,20190507L_2,,,"Diff Caliber, FMJ",038,040
QQ6536,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ6536,QQ,3,3,3,B,B,B:B,G,G,GG,20190501A_4,,,"Diff Make, JHP-FMJ",038,038
QQ6605,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6605,QQ,3,3,3,B,C,B:C,G,G,GG,20190412Q_2,,,"Diff Model, JHP-FMJ",038,038
QQ6686,Primary (2nd assignments),ID,Norm,Match,QQ6686,QQ,3,5,5,A,A,A:A,P,P,PP,20190501N_1,30.0,48.0,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ6686,Primary (Baseline),ID,VDiff,Match,QQ6686,QQ,3,5,5,A,A,A:A,P,P,PP,20190501N_1,30.0,48.0,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ6708,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ6708,QQ,3,3,3,A,A,A:A,G,G,GG,20190507H_0,,,"Same Model, Diff Sess, JHP",040,040
QQ6832,Primary (2nd assignments),Insuff,VDiff,Inconclusive,QQ6832,QQ,3,5,5,B,B,B:B,G,G,GG,20190507H_1,40.0,58.0,"Same Model, Diff Sess, JHP",040,040
QQ6832,Primary (Baseline),LeanID,VDiff,Match,QQ6832,QQ,3,5,5,B,B,B:B,G,G,GG,20190507H_1,40.0,58.0,"Same Model, Diff Sess, JHP",040,040
QQ6854,Primary (Baseline),Excl,Norm,NonMatch,QQ6854,QQ,3,3,3,A,A,A:A,P,P,PP,20190618L_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ6895,Primary (Baseline),ID,Norm,Match,QQ6895,QQ,3,3,3,A,B,A:B,P,G,PG,20190404A_2,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ6899,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ6899,QQ,3,3,3,A,B,A:B,P,G,PG,20190508A_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ7144,Primary (Baseline),ID,Norm,Match,QQ7144,QQ,3,3,3,B,B,B:B,G,G,GG,20190412B_1,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ7189,Primary (Baseline),Excl,Norm,NonMatch,QQ7189,QQ,3,3,3,B,B,B:B,G,G,GG,20190507C_0,,,"Diff Caliber, JHP",9ML,040
QQ7199,Primary (Baseline),Excl,Norm,NonMatch,QQ7199,QQ,3,3,3,A,B,A:B,P,G,PG,20190507O_4,,,"Diff Make, FMJ-JHP",9ML,9ML
QQ7265,Primary (Baseline),Excl,Easy,NonMatch,QQ7265,QQ,3,3,3,A,B,A:B,P,G,PG,20190412H_1,,,"Diff Caliber, FMJ",9ML,038
QQ7291,Primary (Baseline),ID,Norm,Match,QQ7291,QQ,3,3,3,B,B,B:B,G,G,GG,20190404D_0,10.0,28.0,"Same Model, Diff Sess, JHP",9ML,9ML
QQ7577,Primary (Baseline),ID,Diff,Match,QQ7577,QQ,3,3,3,A,A,A:A,P,P,PP,20190501D_1,120.0,138.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ7635,Primary (Baseline),Excl,Norm,NonMatch,QQ7635,QQ,3,3,3,C,C,C:C,G,G,GG,20190415L_1,,,"Same Model, Diff Sess, FMJ",038,038
QQ7639,Primary (Baseline),Excl,Norm,NonMatch,QQ7639,QQ,3,3,5,B,A,A:B,G,P,PG,20190507P_3,20.0,38.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ7666,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ7666,QQ,3,3,3,A,B,A:B,P,G,PG,20190508G_0,,,"Same Model, Diff Sess, FMJ",9ML,9ML
