AnonID,Cset,Phase,ResponseType,ConclusionRaw,Difficulty,Comparability,ConclusionClass,Type,Mating,Cset Quality (voted),Cset Quality (prescreen),Intervening bullets (min),Intervening bullets (max),Caliber Q1,Q1 Quality (prescreen),Q2 Quality (prescreen),Cset Category (Detailed)
BARSM,KQ1060,Primary (Baseline),KQ,ID,Easy,HiRepro,Match,KQ,Mated,A:B,G,0.0,8.0,9ML,G,,"Same Model, Same SubSess, JHP"
BARSM,KQ1767,Primary (Baseline),KQ,LeanExcl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,038,G,,"Diff Model, JHP"
BARSM,KQ1833,Primary (Baseline),KQ,Excl,VEasy,HiRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Diff Make, FMJ"
BARSM,KQ2741,Primary (Baseline),KQ,Excl,Easy,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, FMJ"
BARSM,KQ3253,Primary (Baseline),KQ,Insuff,VDiff,LowRepro,Inconclusive,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, Polygonal, FMJ"
BARSM,KQ3477,Primary (Baseline),KQ,Insuff,Diff,ModRepro,Inconclusive,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, FMJ"
BARSM,KQ3859,Primary (Baseline),KQ,LeanExcl,Diff,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,038,G,,"Same Model, Diff Sess, JHP"
BARSM,KQ4156,Primary (Baseline),KQ,LeanID,VDiff,HiRepro,Match,KQ,Mated,A:B,G,30.0,48.0,9ML,G,,"Same Model, Same Sess, JHP"
BARSM,KQ4277,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:A,P,40.0,58.0,038,P,,"Same Model, Diff Sess, JHP"
BARSM,KQ4699,Primary (Baseline),KQ,Insuff,VDiff,LowRepro,Inconclusive,KQ,Nonmated,A:B,B,,,040,B,,"Same Model, Diff Sess, FMJ"
BATVZ,KQ1060,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:B,G,0.0,8.0,9ML,G,,"Same Model, Same SubSess, JHP"
BATVZ,KQ1486,Primary (Baseline),KQ,LeanExcl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, FMJ"
BATVZ,KQ1578,Primary (Baseline),KQ,Insuff,Norm,LowRepro,Inconclusive,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, Polygonal, FMJ"
BATVZ,KQ1723,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:B,G,,,038,G,,"Diff Make, FMJ"
BATVZ,KQ1759,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:C,B,0.0,18.0,9ML,B,,"Same Model, Same Sess, FMJ, Poor quality"
BATVZ,KQ1767,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:B,G,,,038,G,,"Diff Model, JHP"
BATVZ,KQ1797,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:C,B,,,9ML,B,,"Diff Make, FMJ, Poor quality"
BATVZ,KQ1875,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, FMJ"
BATVZ,KQ2180,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, FMJ"
BATVZ,KQ2225,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:C,U,0.0,8.0,038,U,,"Same Model, Same SubSess, FMJ, Poor quality"
BATVZ,KQ2238,Primary (Baseline),KQ,Insuff,Norm,HiRepro,Inconclusive,KQ,Nonmated,A:B,G,,,038,G,,"Diff Model, JHP"
BATVZ,KQ2602,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Nonmated,A:B,B,,,040,B,,"Same Model, Diff Sess, JHP"
BATVZ,KQ2684,Primary (Baseline),KQ,Excl,Norm,LowRepro,NonMatch,KQ,Nonmated,A:A,P,,,038,P,,"Diff Make, JHP"
BATVZ,KQ2689,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, FMJ"
BATVZ,KQ2741,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, FMJ"
BATVZ,KQ2814,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:B,G,,,038,G,,"Same Model, Diff Sess, FMJ"
BATVZ,KQ2873,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:A,P,,,038,P,,"Same Model, Diff Sess, JHP"
BATVZ,KQ3012,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:A,P,,,038,P,,"Diff Model, FMJ"
BATVZ,KQ3021,Primary (Baseline),KQ,Excl,Easy,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Diff Model, JHP"
BATVZ,KQ3038,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, FMJ"
BATVZ,KQ3102,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:B,G,,,040,G,,"Same Model, Diff Sess, FMJ"
BATVZ,KQ3253,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, Polygonal, FMJ"
BATVZ,KQ3600,Primary (Baseline),KQ,LeanID,Norm,ModRepro,Match,KQ,Nonmated,A:B,G,,,040,G,,"Same Model, Diff Sess, FMJ"
BATVZ,KQ3828,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:C,G,0.0,8.0,040,G,,"Same Model, Same SubSess, FMJ, Poor quality"
BATVZ,KQ4130,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:A,P,0.0,8.0,040,P,,"Same Model, Same SubSess, JHP"
BATVZ,KQ4155,Primary (Baseline),KQ,LeanID,Norm,ModRepro,Match,KQ,Nonmated,A:A,P,,,040,P,,"Same Model, Diff Sess, JHP"
BATVZ,KQ4277,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:A,P,40.0,58.0,038,P,,"Same Model, Diff Sess, JHP"
BATVZ,KQ4283,Primary (Baseline),KQ,LeanExcl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, FMJ"
BATVZ,KQ4369,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Nonmated,A:A,P,,,040,P,,"Same Model, Diff Sess, FMJ"
BATVZ,KQ4431,Primary (Baseline),KQ,Excl,Easy,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Diff Model, FMJ"
BATVZ,KQ4552,Primary (Baseline),KQ,LeanID,Norm,ModRepro,Match,KQ,Nonmated,A:B,G,,,038,G,,"Same Model, Diff Sess, JHP"
BATVZ,KQ4638,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Diff Make, JHP"
BATVZ,KQ4708,Primary (Baseline),KQ,LeanID,Norm,ModRepro,Match,KQ,Mated,A:B,G,30.0,48.0,9ML,G,,"Same Model, Same Sess, JHP"
BATVZ,KQ4800,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:A,P,,,038,P,,"Diff Model, FMJ"
BATVZ,KQ4811,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:B,G,50.0,68.0,9ML,G,,"Same Model, Diff Sess, FMJ"
BBEAR,KQ1044,Primary (Baseline),KQ,ID,Diff,ModRepro,Match,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, JHP"
