name,ppId,averageRating,reviewCount,currentMin,currentMax,originalMin,originalMax,priceType,preOrder,boostedPP,customerFavourite,marketingLabel,mapPrice,originalPriceLabel,sephoraIn,showComparison,bulletedCopyAttrs,minSavePrice,maxSavePrice,currentPriceLabel,truckItemIn,ecoRebate,skuId,currencyCode,brand,skuSwatch,pdpUrl,availabilityStatus,bundleStatusBadge,subDivision,enableMiniPDP,bundleIndicator,appendSKUId,firstActivationDate,imagesInfo.thumbnailImageId,imagesInfo.altThumbnailImageId,videoId,ppShotType,upperLeftBadge,bottomBadges,promotionMessages,product_url,date_scraped,search_term
Eilish By Billie Eilish Eau De Parfum,ppr5008338051,4.4348,23.0,46.4,62.4,58.0,78.0,SALE,False,False,False,LIMITED TIME SPECIAL!,False,original,False,True,"['Fragrance Family: Amber', 'Fluid Ounces: 1 oz.', 'Formulation: Spray', 'Fragrance Concentration: Eau De Parfum', 'Cbd: No']",20.0,20.0,SALE,False,False,91517290018,USD,billie eilish,"[{'colorName': '3 4 Oz', 'swatchImageId': 'DP0308202309323564S.tif', 'colorizedImageId': 'DP0308202309323355M.tif', 'colorSeqNum': 1, 'skuId': '91517310018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0308202309323459M.tif', 'colorSeq': 0}, {'imgId': 'DP0308202309323251M.tif', 'colorSeq': 1}, {'imgId': 'DP0820202409084505M.tif', 'colorSeq': 2}]}, {'colorName': '1 Oz', 'swatchImageId': 'DP0308202309322731S.tif', 'colorizedImageId': 'DP0308202309322524M.tif', 'colorSeqNum': 2, 'skuId': '91517290018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0308202309322628M.tif', 'colorSeq': 0}, {'imgId': 'DP0308202309322421M.tif', 'colorSeq': 1}, {'imgId': 'DP0820202409084403M.tif', 'colorSeq': 2}]}, {'colorName': '1 7 Oz', 'swatchImageId': 'DP0308202309323147S.tif', 'colorizedImageId': 'DP0308202309322939M.tif', 'colorSeqNum': 3, 'skuId': '91517300018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0308202309323044M.tif', 'colorSeq': 0}, {'imgId': 'DP0308202309322836M.tif', 'colorSeq': 1}, {'imgId': 'DP0819202411065731M.tif', 'colorSeq': 2}]}]",/p/eilish-by-billie-eilish-eau-de-parfum/ppr5008338051?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,915,True,False,False,2023-06-28T09:43:04,DP0308202309323355M.tif,DP0308202309323459M.tif,,,,,,https://www.jcpenney.com/p/eilish-by-billie-eilish-eau-de-parfum/ppr5008338051?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,20251224,fragrances
Jcpenney Beauty Holiday Women’s Fragrance Vault ($71 Value),ppr5008550998,3.75,8.0,28.0,28.0,35.0,35.0,SALE,False,False,False,LIMITED TIME SPECIAL!,False,original,False,True,"['# Pieces In Set: 13', 'Included: 1 Parfum, 10 Eau De Parfums', 'Formulation: Spray', 'Cbd: No', 'Country of Origin: Made in US']",20.0,20.0,SALE,False,False,91531660018,USD,more brands,"[{'colorName': 'Pink', 'swatchImageId': 'DP0817202511001298S.tif', 'colorizedImageId': 'DP0813202513094850M.tif', 'colorSeqNum': 1, 'skuId': '91531660018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0812202513005168M.tif', 'colorSeq': 0}, {'imgId': 'DP0812202513004750M.tif', 'colorSeq': 2}, {'imgId': 'DP0812202513004959M.tif', 'colorSeq': 3}]}]",/p/jcpenney-beauty-holiday-womens-fragrance-vault-71-value/ppr5008550998?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,915,True,False,False,2025-08-14T16:04:05,DP0813202513094850M.tif,DP0812202513005168M.tif,,,,,,https://www.jcpenney.com/p/jcpenney-beauty-holiday-womens-fragrance-vault-71-value/ppr5008550998?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,20251224,fragrances
Sabrina Carpenter Sweet Tooth Eau De Parfum,ppr5008239373,4.3571,14.0,44.0,44.0,55.0,55.0,SALE,False,False,False,LIMITED TIME SPECIAL!,False,original,False,True,"['Fragrance Family: Sweet', 'Fluid Ounces: 2.5 oz.', 'Formulation: Spray', 'Fragrance Concentration: Eau De Parfum', 'Cbd: No']",20.0,20.0,SALE,False,False,91508210018,USD,sabrina carpenter,"[{'colorName': '2 5 Oz', 'swatchImageId': 'DP1123202211150838S.tif', 'colorizedImageId': 'DP1021202413043578M.tif', 'colorSeqNum': 1, 'skuId': '91508210018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP1123202211150734M.tif', 'colorSeq': 0}, {'imgId': 'DP1123202211151578M.tif', 'colorSeq': 1}, {'imgId': 'DP1123202211151475M.tif', 'colorSeq': 2}]}]",/p/sabrina-carpenter-sweet-tooth-eau-de-parfum/ppr5008239373?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,915,True,False,False,2022-11-11T12:02:21,DP1021202413043578M.tif,DP1123202211150734M.tif,,,,,,https://www.jcpenney.com/p/sabrina-carpenter-sweet-tooth-eau-de-parfum/ppr5008239373?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,20251224,fragrances
Carolina Herrera Good Girl Blush Eau De Parfum,ppr5008497928,4.5916,1829.0,116.8,140.8,146.0,176.0,SALE,False,False,False,LIMITED TIME SPECIAL!,False,original,False,True,"['Fragrance Family: Floral', 'Fluid Ounces: 2.7 oz.', 'Formulation: Spray', 'Fragrance Concentration: Eau De Parfum', 'Cbd: No']",20.0,20.0,SALE,False,False,91529030018,USD,carolina herrera,"[{'colorName': '2 7 Oz', 'swatchImageId': 'DP1122202409235943S.tif', 'colorizedImageId': 'DP1122202409235738M.tif', 'colorSeqNum': 1, 'skuId': '91529030018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP1122202409235840M.tif', 'colorSeq': 0}, {'imgId': 'DP1025202507170641M.tif', 'colorSeq': 1}, {'imgId': 'DP1025202507170536M.tif', 'colorSeq': 3}]}, {'colorName': '1 7 Oz', 'swatchImageId': 'DP0925202515202572S.tif', 'colorizedImageId': 'DP0925202515202154M.tif', 'colorSeqNum': 2, 'skuId': '91532530018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0925202515202363M.tif', 'colorSeq': 0}, {'imgId': 'DP0925202515202050M.tif', 'colorSeq': 1}, {'imgId': 'DP0925202515202676M.tif', 'colorSeq': 2}]}]",/p/carolina-herrera-good-girl-blush-eau-de-parfum/ppr5008497928?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,915,True,False,False,2025-03-04T09:02:43,DP1122202409235738M.tif,DP1122202409235840M.tif,,,,,,https://www.jcpenney.com/p/carolina-herrera-good-girl-blush-eau-de-parfum/ppr5008497928?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,20251224,fragrances
Carolina Herrera Good Girl Eau De Parfum,ppr5008453313,4.7704,2282.0,104.0,124.8,130.0,156.0,SALE,False,False,False,LIMITED TIME SPECIAL!,False,original,False,True,"['Fragrance Family: Floral', 'Fluid Ounces: 1.7 oz.', 'Formulation: Liquid', 'Fragrance Concentration: Eau De Parfum', 'Cbd: No']",20.0,20.0,SALE,False,False,91533190018,USD,carolina herrera,"[{'colorName': '2 7 Oz', 'swatchImageId': 'DP0626202415352529S.tif', 'colorizedImageId': 'DP0717202415005603M.tif', 'colorSeqNum': 1, 'skuId': '91526590018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP1025202507170120M.tif', 'colorSeq': 3}, {'imgId': 'DP1025202507170432M.tif', 'colorSeq': 4}, {'imgId': 'DP0717202415005400M.tif', 'colorSeq': 5}]}, {'colorName': '1 7 Oz', 'swatchImageId': 'DP0925202515221962S.tif', 'colorizedImageId': 'DP0925202515221545M.tif', 'colorSeqNum': 2, 'skuId': '91533190018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0925202515221753M.tif', 'colorSeq': 0}, {'imgId': 'DP0925202515221440M.tif', 'colorSeq': 1}, {'imgId': 'DP0925202515222067M.tif', 'colorSeq': 2}]}]",/p/carolina-herrera-good-girl-eau-de-parfum/ppr5008453313?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,915,True,False,False,2024-06-20T10:02:46,DP0717202415005603M.tif,DP1025202507170120M.tif,,,,,,https://www.jcpenney.com/p/carolina-herrera-good-girl-eau-de-parfum/ppr5008453313?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,20251224,fragrances
Ariana Grande Cloud Eau De Parfum,ppr5008263870,4.6667,12.0,40.0,57.6,50.0,72.0,SALE,False,False,False,LIMITED TIME SPECIAL!,False,original,False,True,"['Fragrance Family: Amber', 'Fluid Ounces: 1 oz.', 'Formulation: Spray', 'Fragrance Concentration: Eau De Parfum', 'Cbd: No']",20.0,20.0,SALE,False,False,91510240018,USD,ariana grande,"[{'colorName': '1 Oz', 'swatchImageId': 'DP0715202207131701S.tif', 'colorizedImageId': 'DP0715202207131598M.tif', 'colorSeqNum': 1, 'skuId': '91510240018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0503202407415141M.tif', 'colorSeq': 0}, {'imgId': 'DP0503202407415039M.tif', 'colorSeq': 1}, {'imgId': 'DP1113202409194852M.tif', 'colorSeq': 2}]}, {'colorName': '1 7 Oz', 'swatchImageId': 'DP0503202407415446S.tif', 'colorizedImageId': 'DP0503202407415344M.tif', 'colorSeqNum': 2, 'skuId': '91510250018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0503202407415547M.tif', 'colorSeq': 0}, {'imgId': 'DP0503202407415242M.tif', 'colorSeq': 1}, {'imgId': 'DP0820202407473674M.tif', 'colorSeq': 3}]}, {'colorName': '3 4 Oz', 'swatchImageId': 'DP0715202207125540S.tif', 'colorizedImageId': 'DP0715202207125438M.tif', 'colorSeqNum': 3, 'skuId': '91510130018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0503202407413311M.tif', 'colorSeq': 2}, {'imgId': 'DP0503202407413209M.tif', 'colorSeq': 3}, {'imgId': 'DP0819202409130392M.tif', 'colorSeq': 5}]}]",/p/ariana-grande-cloud-eau-de-parfum/ppr5008263870?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,"[{'message': 'Unavailable for Pickup', 'icon': 'cross'}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,915,True,False,False,2022-07-29T13:02:35,DP0715202207131598M.tif,DP0503202407415141M.tif,9151013A_V_VA_34OZ,,,,,https://www.jcpenney.com/p/ariana-grande-cloud-eau-de-parfum/ppr5008263870?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,20251224,fragrances
Rabanne 1 Million Eau De Toilette,ppr5008453326,4.7784,3172.0,97.6,97.6,122.0,122.0,SALE,False,False,False,LIMITED TIME SPECIAL!,False,original,False,True,"['Fragrance Family: Warm & Spicy', 'Fluid Ounces: 3.4 oz.', 'Formulation: Spray', 'Fragrance Concentration: Eau De Toilette', 'Cbd: No']",20.0,20.0,SALE,False,False,91526660018,USD,rabanne,"[{'colorName': '3 4 Oz', 'swatchImageId': 'DP0626202415355390S.tif', 'colorizedImageId': 'DP0717202415011744M.tif', 'colorSeqNum': 1, 'skuId': '91526660018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0717202415011643M.tif', 'colorSeq': 0}, {'imgId': 'DP0717202415011541M.tif', 'colorSeq': 1}, {'imgId': 'DP0626202415355083M.tif', 'colorSeq': 2}]}]",/p/rabanne-1-million-eau-de-toilette/ppr5008453326?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,915,True,False,False,2024-06-20T10:02:44,DP0717202415011744M.tif,DP0717202415011643M.tif,,,,,,https://www.jcpenney.com/p/rabanne-1-million-eau-de-toilette/ppr5008453326?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,20251224,fragrances
Versace Bright Crystal Eau De Toilette,ppr5008453330,5.0,10.0,88.0,102.4,110.0,128.0,SALE,False,False,False,LIMITED TIME SPECIAL!,False,original,False,True,"['Fragrance Family: Floral', 'Fluid Ounces: 3 oz.', 'Formulation: Spray', 'Fragrance Concentration: Eau De Toilette', 'Cbd: No']",20.0,20.0,SALE,False,False,91526700018,USD,versace,"[{'colorName': '1 7 Oz', 'swatchImageId': 'DP0626202415360612S.tif', 'colorizedImageId': 'DP0717202415012660M.tif', 'colorSeqNum': 1, 'skuId': '91526690018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0717202415012456M.tif', 'colorSeq': 0}, {'imgId': 'DP0717202415012558M.tif', 'colorSeq': 1}, {'imgId': 'DP0626202415360306M.tif', 'colorSeq': 2}]}, {'colorName': '3 Oz', 'swatchImageId': 'DP0626202415361020S.tif', 'colorizedImageId': 'DP0717202415012965M.tif', 'colorSeqNum': 2, 'skuId': '91526700018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0717202415012762M.tif', 'colorSeq': 0}, {'imgId': 'DP0717202415012863M.tif', 'colorSeq': 1}, {'imgId': 'DP0626202415360715M.tif', 'colorSeq': 2}]}]",/p/versace-bright-crystal-eau-de-toilette/ppr5008453330?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,915,True,False,False,2024-06-10T22:02:12,DP0717202415012660M.tif,DP0717202415012456M.tif,,,,,,https://www.jcpenney.com/p/versace-bright-crystal-eau-de-toilette/ppr5008453330?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,20251224,fragrances
MESSI Platinum Eau De Parfum Spray Exclusive To JCPenney,ppr5008530189,4.9286,14.0,57.6,57.6,72.0,72.0,SALE,False,False,False,LIMITED TIME SPECIAL!,False,original,False,True,"['Features: Cruelty Free, Vegan', 'Fragrance Family: Amber', 'Fluid Ounces: 3.4 oz.', 'Ingredients: Aluminum Free, Phthalate Free', 'Formulation: Spray']",20.0,20.0,SALE,False,False,91530040018,USD,messi,"[{'colorName': '3 4 Oz', 'swatchImageId': 'DP0904202515051212S.tif', 'colorizedImageId': 'DP0904202515051003M.tif', 'colorSeqNum': 1, 'skuId': '91530040018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0904202515051107M.tif', 'colorSeq': 0}, {'imgId': 'DP1023202513075619M.tif', 'colorSeq': 1}, {'imgId': 'DP1023202513075097M.tif', 'colorSeq': 6}]}]",/p/messi-platinum-eau-de-parfum-spray-exclusive-to-jcpenney/ppr5008530189?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,915,True,False,False,2025-10-07T11:23:13,DP0904202515051003M.tif,DP0904202515051107M.tif,9153004V_A_VA_3 4OZ,,,,,https://www.jcpenney.com/p/messi-platinum-eau-de-parfum-spray-exclusive-to-jcpenney/ppr5008530189?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,20251224,fragrances
Coach Poppy Eau De Parfum,ppr5008264134,4.8571,7.0,36.0,55.2,45.0,69.0,SALE,False,False,False,LIMITED TIME SPECIAL!,False,original,False,True,"['Features: Cruelty Free', 'Fragrance Family: Floral', 'Fluid Ounces: 3.3 oz.', 'Ingredients: Sulfate-Free, Aluminum Free', 'Formulation: Spray']",20.0,20.0,SALE,False,False,91510320018,USD,coach,"[{'colorName': '3 3 Oz', 'swatchImageId': 'DP1123202211165691S.tif', 'colorizedImageId': 'DP1123202211165589M.tif', 'colorSeqNum': 1, 'skuId': '91510320018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0904202407080954M.tif', 'colorSeq': 0}, {'imgId': 'DP0819202409132329M.tif', 'colorSeq': 1}]}, {'colorName': '1 Oz', 'swatchImageId': 'DP0801202207380052S.tif', 'colorizedImageId': 'DP0801202207375950M.tif', 'colorSeqNum': 2, 'skuId': '91510330018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0904202407081056M.tif', 'colorSeq': 0}, {'imgId': 'DP1217202409081303M.tif', 'colorSeq': 1}]}]",/p/coach-poppy-eau-de-parfum/ppr5008264134?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,915,True,False,False,2022-08-30T16:02:55,DP1123202211165589M.tif,DP0904202407080954M.tif,,,,,,https://www.jcpenney.com/p/coach-poppy-eau-de-parfum/ppr5008264134?pTmplType=beauty&searchTerm=fragrances&geoZip=55057,20251224,fragrances
