name,ppId,averageRating,reviewCount,currentMin,currentMax,originalMin,originalMax,priceType,preOrder,boostedPP,customerFavourite,marketingLabel,upperLeftBadge,mapPrice,originalPriceLabel,sephoraIn,showComparison,bulletedCopyAttrs,minSavePrice,maxSavePrice,currentPriceLabel,truckItemIn,ecoRebate,skuId,currencyCode,brand,skuSwatch,pdpUrl,availabilityStatus,bundleStatusBadge,subDivision,enableMiniPDP,fpacPriceMax,fpacPriceMin,fpacCoupon,bundleIndicator,appendSKUId,firstActivationDate,imagesInfo.thumbnailImageId,imagesInfo.altThumbnailImageId,bottomBadges,videoId,channelMessage,promotionMessages,ppShotType,product_url,date_scraped,search_term
St. John's Bay Mens Water Resistant Midweight Puffer Jacket,ppr5008505636,4.3162,136.0,44.99,44.99,100.0,100.0,SALE,False,False,False,GOTTA HAVE IT PRICE!,"[{'name': 'NEW', 'priority': 1, 'urlParam': 'new'}, {'name': 'Only at JCP', 'priority': 2, 'urlParam': 'onlyatjcp'}]",False,original,False,True,"['Features: Water Resistant', 'Closure Type: Zipper', 'Neckline: Mock Neck', 'Pocket Types: 2 Side Zip Pocket(s)', 'Sleeve Length: Long Sleeve']",0.0,0.0,SALE,False,False,51870050265,USD,st. john's bay,"[{'colorName': 'Merlot', 'swatchImageId': 'DP0722202515004391S.tif', 'colorizedImageId': 'DP0722202515003346M.tif', 'colorSeqNum': 1, 'skuId': '51870051065', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0722202515003868M.tif', 'colorSeq': 0}, {'imgId': 'DP0722202515002822M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507102239M.tif', 'colorSeq': 2}]}, {'colorName': 'Black', 'swatchImageId': 'DP0717202513010327S.tif', 'colorizedImageId': 'DP0717202513010118M.tif', 'colorSeqNum': 2, 'skuId': '51870050067', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0717202513010222M.tif', 'colorSeq': 0}, {'imgId': 'DP0717202513010012M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507102135M.tif', 'colorSeq': 2}]}, {'colorName': 'American Navy', 'swatchImageId': 'DP0722202515004286S.tif', 'colorizedImageId': 'DP0722202515003241M.tif', 'colorSeqNum': 3, 'skuId': '51870050265', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0722202515003763M.tif', 'colorSeq': 0}, {'imgId': 'DP0722202515002717M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507102032M.tif', 'colorSeq': 2}]}, {'colorName': 'Rich Avocado', 'swatchImageId': 'DP0722202515004601S.tif', 'colorizedImageId': 'DP0722202515003555M.tif', 'colorSeqNum': 4, 'skuId': '51870050463', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0722202515004077M.tif', 'colorSeq': 0}, {'imgId': 'DP0722202515003031M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507102445M.tif', 'colorSeq': 2}]}, {'colorName': 'Monk Brown', 'swatchImageId': 'DP0722202515004496S.tif', 'colorizedImageId': 'DP0722202515003450M.tif', 'colorSeqNum': 5, 'skuId': '51870050661', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0722202515003972M.tif', 'colorSeq': 0}, {'imgId': 'DP0722202515002927M.tif', 'colorSeq': 1}, {'imgId': 'DP0912202509063999M.tif', 'colorSeq': 2}]}, {'colorName': 'Santorini Blue', 'swatchImageId': 'DP0722202515004705S.tif', 'colorizedImageId': 'DP0722202515003660M.tif', 'colorSeqNum': 6, 'skuId': '51870050869', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0722202515004182M.tif', 'colorSeq': 0}, {'imgId': 'DP0722202515003136M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507102549M.tif', 'colorSeq': 2}]}]",/p/st-johns-bay-mens-water-resistant-midweight-puffer-jacket/ppr5008505636?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,518,True,31.49,31.49,YULETIDE,False,False,2025-11-24T08:28:49,DP0722202515003346M.tif,DP0722202515003868M.tif,,,,,,https://www.jcpenney.com/p/st-johns-bay-mens-water-resistant-midweight-puffer-jacket/ppr5008505636?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,20251224,men's outerwear
St. John's Bay Mens Hooded Heavyweight Puffer Jacket,ppr5008505655,5.0,4.0,84.0,84.0,140.0,140.0,SALE,False,False,False,,"[{'name': 'NEW', 'priority': 1, 'urlParam': 'new'}, {'name': 'Only at JCP', 'priority': 2, 'urlParam': 'onlyatjcp'}]",False,original,False,True,"['Features: Wind Resistant, Lined, Hooded', 'Closure Type: Zipper', 'Neckline: Hooded Neck', 'Pocket Types: 2 Front Snap Pocket(s)', 'Sleeve Length: Long Sleeve']",0.0,0.0,SALE,False,False,51870520679,USD,st. john's bay,"[{'colorName': 'Rich Avocado', 'swatchImageId': 'DP0527202509155614S.tif', 'colorizedImageId': 'DP0527202509154986M.tif', 'colorSeqNum': 1, 'skuId': '51870520679', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0527202509155299M.tif', 'colorSeq': 0}, {'imgId': 'DP0527202509154673M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507104203M.tif', 'colorSeq': 2}]}, {'colorName': 'Black', 'swatchImageId': 'DP0521202509013769S.tif', 'colorizedImageId': 'DP0521202509013560M.tif', 'colorSeqNum': 2, 'skuId': '51870520075', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0521202509013665M.tif', 'colorSeq': 0}, {'imgId': 'DP0521202509013457M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507103997M.tif', 'colorSeq': 2}]}, {'colorName': 'American Navy', 'swatchImageId': 'DP0527202509155404S.tif', 'colorizedImageId': 'DP0527202509154778M.tif', 'colorSeqNum': 3, 'skuId': '51870520265', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0527202509155090M.tif', 'colorSeq': 0}, {'imgId': 'DP0527202509154464M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507103893M.tif', 'colorSeq': 2}]}, {'colorName': 'Desert Palm', 'swatchImageId': 'DP0527202509155509S.tif', 'colorizedImageId': 'DP0527202509154882M.tif', 'colorSeqNum': 4, 'skuId': '51870520463', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0527202509155195M.tif', 'colorSeq': 0}, {'imgId': 'DP0527202509154568M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507104100M.tif', 'colorSeq': 2}]}]",/p/st-johns-bay-mens-hooded-heavyweight-puffer-jacket/ppr5008505655?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,518,True,58.8,58.8,YULETIDE,False,False,2025-11-12T04:10:14,DP0527202509154986M.tif,DP0527202509155299M.tif,,,,,,https://www.jcpenney.com/p/st-johns-bay-mens-hooded-heavyweight-puffer-jacket/ppr5008505655?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,20251224,men's outerwear
St. John's Bay Mens Hooded Heavyweight Big and Tall Puffer Jacket,ppr5008505661,5.0,5.0,84.0,84.0,140.0,140.0,SALE,False,False,False,,"[{'name': 'NEW', 'priority': 1, 'urlParam': 'new'}, {'name': 'Only at JCP', 'priority': 2, 'urlParam': 'onlyatjcp'}]",False,original,False,True,"['Features: Lined, Hooded', 'Closure Type: Hook & Loop Tape, Snap, Zipper', 'Neckline: Hooded Neck', 'Pocket Types: 2 Front Slip Pocket(s)', 'Sleeve Length: Long Sleeve']",0.0,0.0,SALE,False,False,26270080216,USD,st. john's bay,"[{'colorName': 'Black', 'swatchImageId': 'DP0827202509020100S.tif', 'colorizedImageId': 'DP0827202509015890M.tif', 'colorSeqNum': 1, 'skuId': '26270080018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0827202509015995M.tif', 'colorSeq': 0}, {'imgId': 'DP0827202509015681M.tif', 'colorSeq': 1}, {'imgId': 'DP0827202509015785M.tif', 'colorSeq': 2}]}, {'colorName': 'Desert Palm', 'swatchImageId': 'DP0805202513014179S.tif', 'colorizedImageId': 'DP0805202513013970M.tif', 'colorSeqNum': 2, 'skuId': '26270080216', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0805202513014074M.tif', 'colorSeq': 0}, {'imgId': 'DP0805202513013761M.tif', 'colorSeq': 1}, {'imgId': 'DP0805202513013865M.tif', 'colorSeq': 2}]}]",/p/st-johns-bay-mens-hooded-heavyweight-big-and-tall-puffer-jacket/ppr5008505661?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,"[{'message': 'Unavailable for Pickup', 'icon': 'cross'}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,262,True,58.8,58.8,YULETIDE,False,False,2025-10-16T21:38:56,DP0827202509015890M.tif,DP0827202509015995M.tif,,,,,,https://www.jcpenney.com/p/st-johns-bay-mens-hooded-heavyweight-big-and-tall-puffer-jacket/ppr5008505661?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,20251224,men's outerwear
St. John's Bay Mens Water Resistant Midweight Big and Tall Puffer Jacket,ppr5008505658,4.6667,3.0,49.99,49.99,110.0,110.0,SALE,False,False,False,GOTTA HAVE IT PRICE!,"[{'name': 'Only at JCP', 'priority': 1, 'urlParam': 'onlyatjcp'}]",False,original,False,True,"['Features: Water Resistant', 'Closure Type: Zipper', 'Neckline: Mock Neck', 'Pocket Types: 2 Front Zip Pocket(s)', 'Sleeve Length: Long Sleeve']",0.0,0.0,SALE,False,False,26270060414,USD,st. john's bay,"[{'colorName': 'Monk Brown', 'swatchImageId': 'DP0902202509013932S.tif', 'colorizedImageId': 'DP0902202509013308M.tif', 'colorSeqNum': 1, 'skuId': '26270060612', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0902202509013619M.tif', 'colorSeq': 0}, {'imgId': 'DP0902202509012995M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507073692M.tif', 'colorSeq': 2}]}, {'colorName': 'Black', 'swatchImageId': 'DP0827202509015472S.tif', 'colorizedImageId': 'DP0827202509015263M.tif', 'colorSeqNum': 2, 'skuId': '26270060018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0827202509015368M.tif', 'colorSeq': 0}, {'imgId': 'DP0827202509015158M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507073589M.tif', 'colorSeq': 2}]}, {'colorName': 'American Navy', 'swatchImageId': 'DP0902202509013827S.tif', 'colorizedImageId': 'DP0902202509013203M.tif', 'colorSeqNum': 3, 'skuId': '26270060216', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0902202509013515M.tif', 'colorSeq': 0}, {'imgId': 'DP0902202509012891M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507073486M.tif', 'colorSeq': 2}]}, {'colorName': 'Rich Avocado', 'swatchImageId': 'DP0902202509014037S.tif', 'colorizedImageId': 'DP0902202509013412M.tif', 'colorSeqNum': 4, 'skuId': '26270060414', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0902202509013723M.tif', 'colorSeq': 0}, {'imgId': 'DP0902202509013100M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507073795M.tif', 'colorSeq': 2}]}]",/p/st-johns-bay-mens-water-resistant-midweight-big-and-tall-puffer-jacket/ppr5008505658?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,"[{'message': 'Unavailable for Pickup', 'icon': 'cross'}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,262,True,34.99,34.99,YULETIDE,False,False,2025-08-27T11:44:35,DP0902202509013308M.tif,DP0902202509013619M.tif,,,,,,https://www.jcpenney.com/p/st-johns-bay-mens-water-resistant-midweight-big-and-tall-puffer-jacket/ppr5008505658?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,20251224,men's outerwear
J. Ferrar Mens Water Resistant Midweight Topcoat Coat,ppr5008428453,3.9167,12.0,110.0,110.0,220.0,220.0,SALE,False,False,False,,,False,original,False,True,"['Features: Water Resistant', 'Closure Type: Button', 'Fit: Slim Fit', 'Pocket Types: 1 Chest Slip Pocket(s), 2 Front Flap Pocket(s)', 'Sleeve Length: Long Sleeve']",0.0,0.0,SALE,False,False,55401520067,USD,j. ferrar,"[{'colorName': 'Black', 'swatchImageId': 'DP0722202411241566S.tif', 'colorizedImageId': 'DP0710202415114013M.tif', 'colorSeqNum': 1, 'skuId': '55401520067', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0710202415113911M.tif', 'colorSeq': 0}, {'imgId': 'DP0722202411241464M.tif', 'colorSeq': 1}]}]",/p/j-ferrar-mens-water-resistant-midweight-topcoat-coat/ppr5008428453?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,554,True,77.0,77.0,YULETIDE,False,False,2024-08-15T11:52:13,DP0710202415114013M.tif,DP0710202415113911M.tif,,,,,,https://www.jcpenney.com/p/j-ferrar-mens-water-resistant-midweight-topcoat-coat/ppr5008428453?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,20251224,men's outerwear
Canada Weather Gear Mens Water Resistant Heavyweight Puffer Jacket,ppr5008514782,4.0,3.0,120.0,120.0,200.0,200.0,SALE,False,False,False,,"[{'name': 'Few Left', 'priority': 1, 'urlParam': 'fewleft'}]",False,original,False,True,"['Features: Water Resistant', 'Closure Type: Zipper', 'Fit: Classic Fit', 'Pocket Types: 2 Front Zip Pocket(s)', 'Sleeve Length: Long Sleeve']",0.0,0.0,SALE,False,False,51870570067,USD,canada weather gear,"[{'colorName': 'Navy', 'swatchImageId': 'DP0527202509162112S.tif', 'colorizedImageId': 'DP0527202509161281M.tif', 'colorSeqNum': 1, 'skuId': '51870570281', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0527202509161489M.tif', 'colorSeq': 0}, {'imgId': 'DP0527202509160864M.tif', 'colorSeq': 1}, {'imgId': 'DP0527202509161697M.tif', 'colorSeq': 2}]}, {'colorName': 'Black', 'swatchImageId': 'DP0527202509162009S.tif', 'colorizedImageId': 'DP0527202509161177M.tif', 'colorSeqNum': 2, 'skuId': '51870570067', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0527202509161385M.tif', 'colorSeq': 0}, {'imgId': 'DP0527202509160760M.tif', 'colorSeq': 1}, {'imgId': 'DP0527202509161593M.tif', 'colorSeq': 2}]}]",/p/canada-weather-gear-mens-water-resistant-heavyweight-puffer-jacket/ppr5008514782?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,"[{'message': 'Unavailable for Pickup', 'icon': 'cross'}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,518,True,96.0,96.0,GIFTWRAP,False,False,2025-09-30T12:05:01,DP0527202509161281M.tif,DP0527202509161489M.tif,,,,,,https://www.jcpenney.com/p/canada-weather-gear-mens-water-resistant-heavyweight-puffer-jacket/ppr5008514782?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,20251224,men's outerwear
Canada Weather Gear Mens Water Resistant Heavyweight Puffer Jacket,ppr5008514780,3.5,6.0,132.0,132.0,220.0,220.0,SALE,False,False,False,,,False,original,False,True,"['Features: Water Resistant', 'Closure Type: Zipper', 'Fit: Classic Fit', 'Neckline: Hooded Neck', 'Pocket Types: 2 Front Zip Pocket(s), 1 Chest Zip Pocket(s), 1 Sleeve Zip Pocket(s)']",0.0,0.0,SALE,False,False,51870550265,USD,canada weather gear,"[{'colorName': 'White Mountain', 'swatchImageId': 'DP0918202511015395S.tif', 'colorizedImageId': 'DP0918202511014873M.tif', 'colorSeqNum': 1, 'skuId': '51870550265', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0918202511015082M.tif', 'colorSeq': 0}, {'imgId': 'DP0918202511014455M.tif', 'colorSeq': 1}, {'imgId': 'DP0918202511014664M.tif', 'colorSeq': 2}]}, {'colorName': 'Black', 'swatchImageId': 'DP0918202511015291S.tif', 'colorizedImageId': 'DP0918202511014769M.tif', 'colorSeqNum': 2, 'skuId': '51870550067', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0918202511014977M.tif', 'colorSeq': 0}, {'imgId': 'DP0918202511014350M.tif', 'colorSeq': 1}, {'imgId': 'DP0918202511014559M.tif', 'colorSeq': 2}]}]",/p/canada-weather-gear-mens-water-resistant-heavyweight-puffer-jacket/ppr5008514780?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,"[{'message': 'Unavailable for Pickup', 'icon': 'cross'}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,518,True,105.6,105.6,GIFTWRAP,False,False,2025-09-18T22:02:31,DP0918202511014873M.tif,DP0918202511015082M.tif,,,,,,https://www.jcpenney.com/p/canada-weather-gear-mens-water-resistant-heavyweight-puffer-jacket/ppr5008514780?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,20251224,men's outerwear
Levi's® Mens Faux Leather Hooded Midweight Jacket,ppr5008516123,5.0,2.0,102.0,102.0,170.0,170.0,SALE,False,False,False,,,False,original,False,True,"['Features: Wind Resistant, Hooded', 'Closure Type: Zipper', 'Fit: Regular Fit', 'Pocket Types: 2 Chest Snap Pocket(s), 2 Front Zip Pocket(s), 1 Inside Slip Pocket(s)', 'Sleeve Length: Long Sleeve']",40.0,40.0,SALE,False,False,51810450265,USD,levi's,"[{'colorName': 'Black', 'swatchImageId': 'DP0425202507044804S.tif', 'colorizedImageId': 'DP0425202507044493M.tif', 'colorSeqNum': 1, 'skuId': '51810450265', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0425202507044283M.tif', 'colorSeq': 0}, {'imgId': 'DP0425202507044701M.tif', 'colorSeq': 1}, {'imgId': 'DP0425202507044388M.tif', 'colorSeq': 2}]}, {'colorName': 'Saddle', 'swatchImageId': 'DP0502202509043886S.tif', 'colorizedImageId': 'DP0502202509043366M.tif', 'colorSeqNum': 2, 'skuId': '51810450067', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0502202509043783M.tif', 'colorSeq': 0}, {'imgId': 'DP0502202509043470M.tif', 'colorSeq': 1}, {'imgId': 'DP0502202509043678M.tif', 'colorSeq': 2}]}]",/p/levis-mens-faux-leather-hooded-midweight-jacket/ppr5008516123?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,518,True,,,,False,False,2025-08-02T02:08:19,DP0425202507044493M.tif,DP0425202507044283M.tif,,,,,,https://www.jcpenney.com/p/levis-mens-faux-leather-hooded-midweight-jacket/ppr5008516123?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,20251224,men's outerwear
St. John's Bay Mens Packable Midweight Puffer Vest,ppr5008505578,4.3103,29.0,29.99,29.99,48.0,48.0,SALE,False,False,False,,"[{'name': 'Few Left', 'priority': 1, 'urlParam': 'fewleft'}, {'name': 'Only at JCP', 'priority': 2, 'urlParam': 'onlyatjcp'}]",False,original,False,True,"['Features: Packable', 'Closure Type: Zipper', 'Pocket Types: 2 Side Zip Pocket(s)', 'Sleeve Length: Sleeveless', 'Warmth Factor: Midweight']",0.0,0.0,SALE,False,False,51313350067,USD,st. john's bay,"[{'colorName': 'Black', 'swatchImageId': 'DP0819202517010359S.tif', 'colorizedImageId': 'DP0819202517010149M.tif', 'colorSeqNum': 1, 'skuId': '51313350067', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0819202517010254M.tif', 'colorSeq': 0}, {'imgId': 'DP0819202517010045M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507101515M.tif', 'colorSeq': 2}]}, {'colorName': 'American Navy', 'swatchImageId': 'DP0820202515002289S.tif', 'colorizedImageId': 'DP0820202515001872M.tif', 'colorSeqNum': 2, 'skuId': '51313350265', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0820202515002080M.tif', 'colorSeq': 0}, {'imgId': 'DP0820202515001662M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507101412M.tif', 'colorSeq': 2}]}, {'colorName': 'Monk Brown', 'swatchImageId': 'DP0819202513023793S.tif', 'colorizedImageId': 'DP0819202513023584M.tif', 'colorSeqNum': 3, 'skuId': '51313350463', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0819202513023689M.tif', 'colorSeq': 0}, {'imgId': 'DP0819202513023479M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507101721M.tif', 'colorSeq': 2}]}, {'colorName': 'Executive Gray', 'swatchImageId': 'DP0820202515002394S.tif', 'colorizedImageId': 'DP0820202515001977M.tif', 'colorSeqNum': 4, 'skuId': '51313350661', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0820202515002184M.tif', 'colorSeq': 0}, {'imgId': 'DP0820202515001767M.tif', 'colorSeq': 1}, {'imgId': 'DP0313202507101618M.tif', 'colorSeq': 2}]}]",/p/st-johns-bay-mens-packable-midweight-puffer-vest/ppr5008505578?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,513,True,20.99,20.99,YULETIDE,False,False,2025-09-02T11:55:45,DP0819202517010149M.tif,DP0819202517010254M.tif,,,,,,https://www.jcpenney.com/p/st-johns-bay-mens-packable-midweight-puffer-vest/ppr5008505578?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,20251224,men's outerwear
Dockers Mens Faux Leather Midweight Jacket,ppr5008515211,4.6667,3.0,96.0,96.0,160.0,160.0,SALE,False,False,False,,"[{'name': 'Few Left', 'priority': 1, 'urlParam': 'fewleft'}]",False,original,False,True,"['Features: Wind Resistant, Elastic Bottom', 'Closure Type: Zipper', 'Fit: Regular Fit', 'Neckline: Collar Neck', 'Pocket Types: 1 Inside Slip Pocket(s), 2 Front Slip Pocket(s)']",0.0,0.0,SALE,False,False,51830300067,USD,dockers,"[{'colorName': 'Black', 'swatchImageId': 'DP0423202507064302S.tif', 'colorizedImageId': 'DP0423202507063677M.tif', 'colorSeqNum': 1, 'skuId': '51830300067', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0423202507063155M.tif', 'colorSeq': 0}, {'imgId': 'DP0423202507063364M.tif', 'colorSeq': 1}, {'imgId': 'DP0423202507064093M.tif', 'colorSeq': 2}]}]",/p/dockers-mens-faux-leather-midweight-jacket/ppr5008515211?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,518,True,67.2,67.2,YULETIDE,False,False,2025-07-25T09:44:11,DP0423202507063677M.tif,DP0423202507063155M.tif,,,,,,https://www.jcpenney.com/p/dockers-mens-faux-leather-midweight-jacket/ppr5008515211?pTmplType=regular&searchTerm=men%27s+outerwear&geoZip=55057,20251224,men's outerwear
