name,ppId,averageRating,reviewCount,currentMin,currentMax,originalMin,originalMax,priceType,preOrder,boostedPP,customerFavourite,marketingLabel,bottomBadges,upperLeftBadge,mapPrice,originalPriceLabel,sephoraIn,showComparison,bulletedCopyAttrs,minSavePrice,maxSavePrice,currentPriceLabel,truckItemIn,ecoRebate,skuId,currencyCode,brand,skuSwatch,pdpUrl,availabilityStatus,bundleStatusBadge,subDivision,enableMiniPDP,fpacPriceMax,fpacPriceMin,fpacCoupon,bundleIndicator,appendSKUId,firstActivationDate,imagesInfo.thumbnailImageId,imagesInfo.altThumbnailImageId,videoId,channelMessage,ppShotType,product_url,date_scraped,search_term
Cooks 30-pc Aluminum Non-Stick Cookware Set,ppr5008102093,4.4409,186.0,69.99,69.99,180.0,180.0,SALE,False,False,False,GOTTA HAVE IT PRICE!,"[{'name': 'Shop the Collection', 'priority': 1, 'urlParam': 'collection'}]","[{'name': 'Only at JCP', 'priority': 1, 'urlParam': 'onlyatjcp'}]",False,original,False,True,"['# Pieces In Set: 30', 'Features: Dishwasher Safe, Non-Stick', 'Cooktop Compatibility: Gas, Electric', 'Care: Dishwasher Safe', 'Material: Aluminum']",0.0,0.0,SALE,False,False,78204110018,USD,cooks,"[{'colorName': 'Black', 'swatchImageId': 'DP0828202413005051S.tif', 'colorizedImageId': 'DP0621202111020107M.tif', 'colorSeqNum': 1, 'skuId': '78204100018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0621202111020111M.tif', 'colorSeq': 0}, {'imgId': 'DP0621202111020103M.tif', 'colorSeq': 1}, {'imgId': 'DP0927202207402889M.tif', 'colorSeq': 2}]}, {'colorName': 'Red', 'swatchImageId': 'DP1011202111013368S.tif', 'colorizedImageId': 'DP1011202111013302M.tif', 'colorSeqNum': 2, 'skuId': '78204110018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP1011202111013394M.tif', 'colorSeq': 0}, {'imgId': 'DP1011202111013389M.tif', 'colorSeq': 1}, {'imgId': 'DP1011202111013385M.tif', 'colorSeq': 2}]}]",/p/cooks-30-pc-aluminum-non-stick-cookware-set/ppr5008102093?pTmplType=regular&searchTerm=cookware&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,782,True,62.99,62.99,SALEFORU,False,False,2021-09-23T23:38:47,DP0621202111020107M.tif,DP0621202111020111M.tif,,,,https://www.jcpenney.com/p/cooks-30-pc-aluminum-non-stick-cookware-set/ppr5008102093?pTmplType=regular&searchTerm=cookware&geoZip=55057,20251228,cookware
Cooks Stainless Steel 15-pc. Cookware Set,ppr5008212733,3.5139,72.0,99.99,99.99,220.0,220.0,SALE,False,False,False,,,"[{'name': 'Only at JCP', 'priority': 1, 'urlParam': 'onlyatjcp'}]",False,original,False,True,"['# Pieces In Set: 15', 'Included: 1 9.5 Inch Fry Pan(s), 1 Steamer Insert(s), 1 8 Inch Fry Pan(s), 1 1.5 Qt. Saucepan(s) With Lid(s), 1 3 Qt. Saute Pan(s) With Lid(s), 1 2 Qt. Saucepan(s) With Lid(s), 4 Measuring Spoon(s), 1 4 Qt. Dutch Oven(s) With Lid(s)', 'Features: Corrosion Resistant, Vented Lid, Heat Resistant Lid, Stain Resistant, Induction Safe, Oven Safe, Multi-Pack, Dishwasher Safe', 'Cooktop Compatibility: Glass, Electric, Ceramic, Gas, Induction', 'Recommended Utensil Material: Nylon']",0.0,0.0,SALE,False,False,78212050018,USD,cooks,"[{'colorName': 'Stainless Steel', 'swatchImageId': 'DP1230202109002738S.tif', 'colorizedImageId': 'DP1230202109002734M.tif', 'colorSeqNum': 1, 'skuId': '78212050018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP1212202207165603M.tif', 'colorSeq': 0}, {'imgId': 'DP1212202207165500M.tif', 'colorSeq': 1}, {'imgId': 'DP0324202213004397M.tif', 'colorSeq': 2}]}]",/p/cooks-stainless-steel-15-pc-cookware-set/ppr5008212733?pTmplType=regular&searchTerm=cookware&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,782,True,89.99,89.99,SALEFORU,False,False,2022-03-16T17:03:44,DP1230202109002734M.tif,DP1212202207165603M.tif,,,,https://www.jcpenney.com/p/cooks-stainless-steel-15-pc-cookware-set/ppr5008212733?pTmplType=regular&searchTerm=cookware&geoZip=55057,20251228,cookware
Cooks Stainless Steel 13-pc. Cookware Set,ppr5008421792,4.0323,31.0,79.99,79.99,160.0,160.0,SALE,False,False,False,,,"[{'name': 'Only at JCP', 'priority': 1, 'urlParam': 'onlyatjcp'}]",False,original,False,True,"['# Pieces In Set: 13', 'Features: Stain Resistant, Pfas Free, Dishwasher Safe, Heat Resistant Handle, Vented Lid, Metal Utensil Safe, Multi-Pack, Oven Safe', 'Cooktop Compatibility: Gas, Induction, Ceramic, Electric, Glass', 'Recommended Utensil Material: Silicone, Wood, Metal, Nylon', 'Maximum Temp (f): 350 Degrees F']",0.0,0.0,SALE,False,False,78263010018,USD,cooks,"[{'colorName': 'Stainless Steel', 'swatchImageId': 'DP0823202407263613S.tif', 'colorizedImageId': 'DP0611202413084442M.tif', 'colorSeqNum': 1, 'skuId': '78263010018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0724202407293568M.tif', 'colorSeq': 0}, {'imgId': 'DP0724202407293466M.tif', 'colorSeq': 1}, {'imgId': 'DP0611202413084339M.tif', 'colorSeq': 2}]}]",/p/cooks-stainless-steel-13-pc-cookware-set/ppr5008421792?pTmplType=regular&searchTerm=cookware&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,782,True,71.99,71.99,SALEFORU,False,False,2024-08-13T17:33:58,DP0611202413084442M.tif,DP0724202407293568M.tif,,,,https://www.jcpenney.com/p/cooks-stainless-steel-13-pc-cookware-set/ppr5008421792?pTmplType=regular&searchTerm=cookware&geoZip=55057,20251228,cookware
KitchenAid Ceramic 10-pc. Non-Stick Cookware Set,ppr5008357995,4.8565,230.0,249.99,249.99,400.0,400.0,SALE,False,False,False,,,,False,original,False,True,"['# Pieces In Set: 10', 'Included: 1 3 Qt. Saute Pan(s) With Lid(s), 1 3 Qt. Saucepan(s) With Lid(s), 1 1.5 Qt. Saucepan(s) With Lid(s), 1 6 Qt. Stock Pot(s) With Lid(s)', 'Features: Ceramic Coating, Even Heating, Ergonomic Handle, Hard Anodized, Shatter Resistant Lid, Non-Stick', 'Cooktop Compatibility: Glass, Gas, Electric, Ceramic', 'Manufacturer Warranty: Lifetime Limited']",37.0,37.0,SALE,False,False,78257770018,USD,kitchenaid,"[{'colorName': 'Pistachio', 'swatchImageId': 'DP0512202307441358S.tif', 'colorizedImageId': 'DP0512202307441254M.tif', 'colorSeqNum': 1, 'skuId': '78257770018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0706202309140708M.tif', 'colorSeq': 0}, {'imgId': 'DP0512202307441770M.tif', 'colorSeq': 1}, {'imgId': 'DP0512202307441667M.tif', 'colorSeq': 2}]}, {'colorName': 'Blue Velvet', 'swatchImageId': 'DP0512202307440633S.tif', 'colorizedImageId': 'DP0512202307440529M.tif', 'colorSeqNum': 2, 'skuId': '78257760018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0706202309140605M.tif', 'colorSeq': 0}, {'imgId': 'DP0512202307441048M.tif', 'colorSeq': 1}, {'imgId': 'DP0512202307440841M.tif', 'colorSeq': 3}]}, {'colorName': 'Empire Red', 'swatchImageId': 'DP0206202409170272S.tif', 'colorizedImageId': 'DP0206202409170169M.tif', 'colorSeqNum': 3, 'skuId': '78263180018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0206202409170581M.tif', 'colorSeq': 0}, {'imgId': 'DP0206202409170478M.tif', 'colorSeq': 1}, {'imgId': 'DP0206202409170375M.tif', 'colorSeq': 2}]}, {'colorName': 'Matte Black', 'swatchImageId': 'DP0928202305060216S.tif', 'colorizedImageId': 'DP0928202305060113M.tif', 'colorSeqNum': 4, 'skuId': '78261580018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0324202415051874M.tif', 'colorSeq': 0}, {'imgId': 'DP0324202415051771M.tif', 'colorSeq': 1}, {'imgId': 'DP0324202415051667M.tif', 'colorSeq': 2}]}]",/p/kitchenaid-ceramic-10-pc-non-stick-cookware-set/ppr5008357995?pTmplType=regular&searchTerm=cookware&geoZip=55057,"[{'message': 'Unavailable for Pickup', 'icon': 'cross'}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,782,True,,,,False,False,2023-05-12T22:03:57,DP0512202307441254M.tif,DP0706202309140708M.tif,,,,https://www.jcpenney.com/p/kitchenaid-ceramic-10-pc-non-stick-cookware-set/ppr5008357995?pTmplType=regular&searchTerm=cookware&geoZip=55057,20251228,cookware
Cuisinart Contour Stainless Steel 14-pc. Cookware Set With Tools,ppr5007779425,3.9545,22.0,199.99,199.99,475.0,475.0,SALE,False,False,False,,,,False,original,False,True,"['# Pieces In Set: 14', 'Included: 1 8 Qt. Stock Pot(s) With Lid(s), 1 1.5 Qt. Saucepan(s) With Lid(s), 1 3.5 Qt. Saute Pan(s) With Lid(s), 1 3 Qt. Saucepan(s) With Lid(s)', 'Features: Induction Safe, Dishwasher Safe', 'Cooktop Compatibility: Induction', 'Manufacturer Warranty: Lifetime Limited']",57.0,57.0,SALE,False,False,78240240026,USD,cuisinart,"[{'colorName': 'Stainless Steel', 'swatchImageId': 'DP0813201821093269S.jpg', 'colorizedImageId': 'DP0813201821093264M.tif', 'colorSeqNum': 1, 'skuId': '78240240026', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0511202311120508M.tif', 'colorSeq': 2}, {'imgId': 'DP0511202311120405M.tif', 'colorSeq': 3}]}]",/p/cuisinart-contour-stainless-steel-14-pc-cookware-set-with-tools/ppr5007779425?pTmplType=regular&searchTerm=cookware&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,782,True,,,,False,False,2018-08-01T00:00:00,DP0813201821093264M.tif,DP0511202311120508M.tif,,,,https://www.jcpenney.com/p/cuisinart-contour-stainless-steel-14-pc-cookware-set-with-tools/ppr5007779425?pTmplType=regular&searchTerm=cookware&geoZip=55057,20251228,cookware
Cooks 3-pc. Cast Iron Fry Pan Set,ppr5007829689,4.3402,244.0,39.99,39.99,60.0,60.0,SALE,False,False,False,,,"[{'name': 'Only at JCP', 'priority': 1, 'urlParam': 'onlyatjcp'}]",False,original,False,True,"['# Pieces In Set: 3', 'Included: 1 10 Inch Skillet(s), 1 8 Inch Skillet(s), 1 6.5 Inch Skillet(s)', 'Features: Oven Safe, Pfas Free', 'Care: Wipe Clean, Hand Wash', 'Material: Cast Iron']",0.0,0.0,SALE,False,False,78246830018,USD,cooks,"[{'colorName': 'Black', 'swatchImageId': 'DP0513201417102371S.jpg', 'colorizedImageId': 'DP1119202017005632M.tif', 'colorSeqNum': 1, 'skuId': '78246830018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP1119202017005641M.tif', 'colorSeq': 0}, {'imgId': 'DP1119202013004961M.tif', 'colorSeq': 1}, {'imgId': 'DP1119202017005622M.tif', 'colorSeq': 2}]}]",/p/cooks-3-pc-cast-iron-fry-pan-set/ppr5007829689?pTmplType=regular&searchTerm=cookware&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,782,True,35.99,35.99,SALEFORU,False,False,2018-11-15T00:00:00,DP1119202017005632M.tif,DP1119202017005641M.tif,,,,https://www.jcpenney.com/p/cooks-3-pc-cast-iron-fry-pan-set/ppr5007829689?pTmplType=regular&searchTerm=cookware&geoZip=55057,20251228,cookware
Cooks Ceramic 13-pc. Cookware Set,ppr5008467866,4.6429,14.0,69.99,69.99,145.0,145.0,SALE,False,False,False,GOTTA HAVE IT PRICE!,"[{'name': 'Shop the Collection', 'priority': 1, 'urlParam': 'collection'}]","[{'name': 'Only at JCP', 'priority': 1, 'urlParam': 'onlyatjcp'}]",False,original,False,True,"['Included: 1 Slotted Spatula(s), 1 8 Inch Fry Pan(s), 1 Slotted Spoon(s), 1 Solid Spoon(s), 1 2.5 Qt. Saucepan(s) With Lid(s), 1 Ladle(s), 1 10 Inch Fry Pan(s), 1 5 Qt. Stock Pot(s) With Lid(s), 1 Spatula(s), 1 1 Qt. Saucepan(s) With Lid(s)', 'Features: Induction Safe, Oven Safe, Even Heating, Dishwasher Safe, Ergonomic Handle, Multi-Pack, Vented Lid, Pfas Free, Heat Resistant Handle', 'Cooktop Compatibility: Gas, Induction, Glass, Electric, Ceramic', 'Recommended Utensil Material: Silicone, Nylon, Wood', 'Shape: Round']",0.0,0.0,SALE,False,False,78265850018,USD,cooks,"[{'colorName': 'Black', 'swatchImageId': 'DP0922202509053449S.tif', 'colorizedImageId': 'DP1010202509014709M.tif', 'colorSeqNum': 1, 'skuId': '78267910018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0918202509022916M.tif', 'colorSeq': 0}, {'imgId': 'DP1010202509014606M.tif', 'colorSeq': 1}]}, {'colorName': 'Gray', 'swatchImageId': 'DP0107202509042934S.tif', 'colorizedImageId': 'DP0107202509042832M.tif', 'colorSeqNum': 2, 'skuId': '78265850018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0214202507124411M.tif', 'colorSeq': 0}, {'imgId': 'DP0214202507124307M.tif', 'colorSeq': 1}, {'imgId': 'DP0214202507124206M.tif', 'colorSeq': 2}]}]",/p/cooks-ceramic-13-pc-cookware-set/ppr5008467866?pTmplType=regular&searchTerm=cookware&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,782,True,62.99,62.99,SALEFORU,False,False,2025-02-14T08:50:12,DP1010202509014709M.tif,DP0918202509022916M.tif,,,,https://www.jcpenney.com/p/cooks-ceramic-13-pc-cookware-set/ppr5008467866?pTmplType=regular&searchTerm=cookware&geoZip=55057,20251228,cookware
T-Fal Essentials 20-pc. Aluminum Non-Stick Cookware Set,ppr5008043381,4.05,20.0,119.99,119.99,220.0,220.0,SALE,False,False,False,,,,False,original,False,True,"['# Pieces In Set: 20', 'Features: Non-Stick, Dishwasher Safe', 'Manufacturer Warranty: Lifetime Limited', 'Steamer Insert Compatibility: 2 Qt. Saucepan', 'Maximum Temp (f): 350 Degrees F']",0.0,0.0,SALE,False,False,78248210018,USD,t-fal,"[{'colorName': 'Black', 'swatchImageId': 'DP0405202407162154S.tif', 'colorizedImageId': 'DP0405202407162051M.tif', 'colorSeqNum': 1, 'skuId': '78248210018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0405202407162565M.tif', 'colorSeq': 0}, {'imgId': 'DP0405202407162463M.tif', 'colorSeq': 1}, {'imgId': 'DP0405202407162359M.tif', 'colorSeq': 2}]}]",/p/t-fal-essentials-20-pc-aluminum-non-stick-cookware-set/ppr5008043381?pTmplType=regular&searchTerm=cookware&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,782,True,107.99,107.99,SALEFORU,False,False,2021-07-16T22:04:32,DP0405202407162051M.tif,DP0405202407162565M.tif,,,,https://www.jcpenney.com/p/t-fal-essentials-20-pc-aluminum-non-stick-cookware-set/ppr5008043381?pTmplType=regular&searchTerm=cookware&geoZip=55057,20251228,cookware
Cooks Hard Anodized 10-pc. Cookware Set,ppr5008252798,4.375,24.0,119.99,119.99,260.0,260.0,SALE,False,False,False,,"[{'name': 'Shop the Collection', 'priority': 1, 'urlParam': 'collection'}]","[{'name': 'Only at JCP', 'priority': 1, 'urlParam': 'onlyatjcp'}]",False,original,False,True,"['# Pieces In Set: 10', 'Included: 1 5 Qt. Stock Pot(s) With Lid(s), 1 2.5 Qt. Saucepan(s) With Lid(s), 1 8 Inch Fry Pan(s), 1 10 Inch Fry Pan(s), 1 1 Qt. Saucepan(s) With Lid(s), 1 3 Qt. Saute Pan(s) With Lid(s)', 'Features: Dishwasher Safe, Multi-Pack, Hard Anodized', 'Cooktop Compatibility: Gas, Electric, Ceramic', 'Manufacturer Warranty: Lifetime Limited']",0.0,0.0,SALE,False,False,78252130018,USD,cooks,"[{'colorName': 'Black', 'swatchImageId': 'DP1207202209180669S.tif', 'colorizedImageId': 'DP1207202209180563M.tif', 'colorSeqNum': 1, 'skuId': '78252130018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0404202311043244M.tif', 'colorSeq': 0}, {'imgId': 'DP0404202311043140M.tif', 'colorSeq': 1}, {'imgId': 'DP0404202311043036M.tif', 'colorSeq': 2}]}]",/p/cooks-hard-anodized-10-pc-cookware-set/ppr5008252798?pTmplType=regular&searchTerm=cookware&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,782,True,107.99,107.99,SALEFORU,False,False,2023-08-17T02:08:40,DP1207202209180563M.tif,DP0404202311043244M.tif,,,,https://www.jcpenney.com/p/cooks-hard-anodized-10-pc-cookware-set/ppr5008252798?pTmplType=regular&searchTerm=cookware&geoZip=55057,20251228,cookware
Martha Stewart Lockton 10-pc. Cookware Set,ppr5008542954,,,199.99,199.99,410.0,410.0,SALE,False,False,False,,,,False,original,False,True,"['# Pieces In Set: 10', 'Features: Ceramic Coating, Non-Stick, Ptfe Free, Tempered Glass, Oven Safe, Pfoa Free', 'Cooktop Compatibility: Open Flame, Electric, Gas, Glass', 'Recommended Utensil Material: Nylon, Silicone, Wood', 'Steamer Insert Compatibility: 5 Qt. Dutch Oven']",0.0,0.0,SALE,False,False,78205390018,USD,martha stewart,"[{'colorName': 'Linen', 'swatchImageId': 'DP0424202509051272S.tif', 'colorizedImageId': 'DP0424202509051168M.tif', 'colorSeqNum': 1, 'skuId': '78205390018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0424202509051585M.tif', 'colorSeq': 0}, {'imgId': 'DP0424202509051481M.tif', 'colorSeq': 1}, {'imgId': 'DP0424202509051377M.tif', 'colorSeq': 2}]}]",/p/martha-stewart-lockton-10-pc-cookware-set/ppr5008542954?pTmplType=regular&searchTerm=cookware&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,782,True,179.99,179.99,SALEFORU,False,False,2025-07-12T01:14:08,DP0424202509051168M.tif,DP0424202509051585M.tif,,,,https://www.jcpenney.com/p/martha-stewart-lockton-10-pc-cookware-set/ppr5008542954?pTmplType=regular&searchTerm=cookware&geoZip=55057,20251228,cookware
