name,ppId,averageRating,reviewCount,currentMin,currentMax,originalMin,originalMax,priceType,preOrder,boostedPP,videoId,customerFavourite,marketingLabel,bottomBadges,mapPrice,originalPriceLabel,sephoraIn,showComparison,bulletedCopyAttrs,minSavePrice,maxSavePrice,currentPriceLabel,truckItemIn,ecoRebate,skuId,currencyCode,brand,skuSwatch,pdpUrl,availabilityStatus,bundleStatusBadge,subDivision,enableMiniPDP,fpacPriceMax,fpacPriceMin,fpacCoupon,bundleIndicator,appendSKUId,firstActivationDate,imagesInfo.thumbnailImageId,imagesInfo.altThumbnailImageId,channelMessage,upperLeftBadge,imagesInfo.colorizedImageId,ppShotType,product_url,date_scraped,search_term
Ever Star 1 CT. T.W. Lab-Grown (G / SI1-SI2) Diamond 10K Gold Round Stud Earrings,ppr5008031659,4.5455,33.0,833.32,833.32,1499.98,1499.98,SALE,False,False,2712193_V_VA_WHITE,False,BONUS BUY!,"[{'name': 'Shop the Collection', 'priority': 1, 'urlParam': 'collection'}]",False,original,False,True,"['Features: Quick Ship', 'Diamond Clarity: Si1-Si2', 'Earring Back: Post', 'Setting: Prong', 'Shape: Round']",0.0,0.0,SALE,False,False,27121930018,USD,ever star,"[{'colorName': 'Yellow', 'swatchImageId': 'DP1115202411334097S.tif', 'colorizedImageId': 'DP0823202209050632M.tif', 'colorSeqNum': 1, 'skuId': '27121960018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0707202507033950M.tif', 'colorSeq': 0}, {'imgId': 'DP0823202209050735M.tif', 'colorSeq': 1}, {'imgId': 'DP0823202209050530M.tif', 'colorSeq': 2}]}, {'colorName': 'White', 'swatchImageId': 'DP1115202411333893S.tif', 'colorizedImageId': 'DP0823202207111275M.tif', 'colorSeqNum': 2, 'skuId': '27121930018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0707202507033536M.tif', 'colorSeq': 0}, {'imgId': 'DP0823202207111378M.tif', 'colorSeq': 1}, {'imgId': 'DP0823202207111172M.tif', 'colorSeq': 2}]}]",/p/ever-star-1-ct-tw-lab-grown-g-si1-si2-diamond-10k-gold-round-stud-earrings/ppr5008031659?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,271,True,666.65,666.65,STAYWARM,False,False,2020-10-21T22:04:44,DP0823202209050632M.tif,DP0707202507033950M.tif,,,,,https://www.jcpenney.com/p/ever-star-1-ct-tw-lab-grown-g-si1-si2-diamond-10k-gold-round-stud-earrings/ppr5008031659?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,20251229,diamond earrings
( G / Si2 ) 2 CT. T.W. Lab-Grown Diamond 10K Gold 6.3mm Round Stud Earrings,ppr5008614546,,,1166.65,1166.65,2499.98,2499.98,SALE,False,False,,False,BONUS BUY!,,False,original,False,True,"['Features: Quick Ship, Certified Diamonds', 'Diamond Clarity: Si2', 'Earring Back: Screw Back Post', 'Setting: Prong', 'Shape: Round']",0.0,0.0,SALE,False,False,27110070026,USD,more brands,"[{'colorName': 'White', 'swatchImageId': 'DP1009202511073220S.tif', 'colorizedImageId': 'DP1009202511073116M.tif', 'colorSeqNum': 1, 'skuId': '27110070026', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP1006202513043495M.tif', 'colorSeq': 0}, {'imgId': 'DP1006202513043392M.tif', 'colorSeq': 1}, {'imgId': 'DP1110202511060602M.tif', 'colorSeq': 2}]}, {'colorName': 'Yellow', 'swatchImageId': 'DP1009202511073429S.tif', 'colorizedImageId': 'DP1009202511073324M.tif', 'colorSeqNum': 2, 'skuId': '27110100034', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP1006202513043810M.tif', 'colorSeq': 0}, {'imgId': 'DP1006202513043704M.tif', 'colorSeq': 1}, {'imgId': 'DP1110202511060811M.tif', 'colorSeq': 2}]}]",/p/g-si2-2-ct-tw-lab-grown-diamond-10k-gold-63mm-round-stud-earrings/ppr5008614546?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,271,True,933.32,933.32,STAYWARM,False,False,2025-10-09T07:06:16,DP1009202511073116M.tif,DP1006202513043495M.tif,,,,,https://www.jcpenney.com/p/g-si2-2-ct-tw-lab-grown-diamond-10k-gold-63mm-round-stud-earrings/ppr5008614546?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,20251229,diamond earrings
Ever Star (G / SI1-SI2) 1 CT. T.W. Lab-Grown Diamond Princess-cut Stud Earrings in 10K Gold,ppr5008437676,3.7273,11.0,833.32,833.32,1499.98,1499.98,SALE,False,False,2711462A_V_VA_NOCOLOR,False,BONUS BUY!,,False,original,False,True,"['Features: Quick Ship', 'Diamond Clarity: Si1-Si2', 'Earring Back: Friction', 'Setting: Prong', 'Shape: Princess']",0.0,0.0,SALE,False,False,27114630034,USD,ever star,"[{'colorName': 'White', 'swatchImageId': 'DP0315202507053791S.tif', 'colorizedImageId': 'DP0418202407154362M.tif', 'colorSeqNum': 1, 'skuId': '27114620034', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0418202407154667M.tif', 'colorSeq': 0}, {'imgId': 'DP0408202407034437M.tif', 'colorSeq': 1}, {'imgId': 'DP0418202407154463M.tif', 'colorSeq': 2}]}, {'colorName': 'Yellow', 'swatchImageId': 'DP1115202411321941S.tif', 'colorizedImageId': 'DP0418202407154972M.tif', 'colorSeqNum': 2, 'skuId': '27114630034', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0418202407155277M.tif', 'colorSeq': 0}, {'imgId': 'DP0408202407034848M.tif', 'colorSeq': 1}, {'imgId': 'DP1119202407014221M.tif', 'colorSeq': 2}]}]",/p/ever-star-g-si1-si2-1-ct-tw-lab-grown-diamond-princess-cut-stud-earrings-in-10k-gold/ppr5008437676?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,271,True,666.65,666.65,STAYWARM,False,False,2024-03-21T11:02:18,DP0418202407154362M.tif,DP0418202407154667M.tif,,,,,https://www.jcpenney.com/p/ever-star-g-si1-si2-1-ct-tw-lab-grown-diamond-princess-cut-stud-earrings-in-10k-gold/ppr5008437676?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,20251229,diamond earrings
Ever Star (G / SI1-SI2) 2 CT. T.W. Lab-Grown Diamond 10K or 14K Gold Princess Stud Earrings,ppr5008437679,4.3333,3.0,1333.32,1999.98,2499.98,2999.98,SALE,False,False,2711464_V_VA_NOCOLOR,False,BONUS BUY!,,False,original,False,True,"['# Pieces In Set: 1 Pair', 'Features: Certified Diamonds, Quick Ship', 'Diamond Clarity: Si1-Si2', 'Earring Back: Screw Back Post', 'Setting: Prong']",0.0,0.0,SALE,False,False,27114640018,USD,more brands,"[{'colorName': 'White', 'swatchImageId': 'DP1115202411322043S.tif', 'colorizedImageId': 'DP0417202407185001M.tif', 'colorSeqNum': 1, 'skuId': '27114640018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0417202407185308M.tif', 'colorSeq': 0}, {'imgId': 'DP0417202407184899M.tif', 'colorSeq': 2}, {'imgId': 'DP0513202411030131M.tif', 'colorSeq': 3}]}, {'colorName': 'Yellow', 'swatchImageId': 'DP1115202411322145S.tif', 'colorizedImageId': 'DP0417202407185616M.tif', 'colorSeqNum': 2, 'skuId': '27114650034', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0417202407185924M.tif', 'colorSeq': 0}, {'imgId': 'DP0417202407185514M.tif', 'colorSeq': 2}, {'imgId': 'DP0513202411030234M.tif', 'colorSeq': 3}]}]",/p/ever-star-g-si1-si2-2-ct-tw-lab-grown-diamond-10k-or-14k-gold-princess-stud-earrings/ppr5008437679?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,271,True,1599.98,1066.65,STAYWARM,False,False,2024-03-21T11:02:16,DP0417202407185001M.tif,DP0417202407185308M.tif,,,,,https://www.jcpenney.com/p/ever-star-g-si1-si2-2-ct-tw-lab-grown-diamond-10k-or-14k-gold-princess-stud-earrings/ppr5008437679?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,20251229,diamond earrings
Ever Star (G / SI1-SI2) 2 CT. T.W. Lab-Grown Diamond 10K or 14K Gold Round Stud Earrings,ppr5008151663,4.1176,17.0,1999.98,1999.98,2999.98,2999.98,SALE,False,False,2711377_V_VA_WHITE,False,,,False,original,False,True,"['# Pieces In Set: 1 Pair', 'Features: Certified Diamonds, Quick Ship', 'Diamond Clarity: Si1-Si2', 'Earring Back: Screw Back Post', 'Setting: Prong']",0.0,0.0,SALE,False,False,27114370034,USD,more brands,"[{'colorName': 'White', 'swatchImageId': 'DP1115202411313857S.tif', 'colorizedImageId': 'DP0311202417012579M.tif', 'colorSeqNum': 1, 'skuId': '27114380034', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0311202417012683M.tif', 'colorSeq': 0}, {'imgId': 'DP0311202417012476M.tif', 'colorSeq': 1}, {'imgId': 'DP1018202207063806M.tif', 'colorSeq': 2}]}, {'colorName': 'Yellow', 'swatchImageId': 'DP1115202411314368S.tif', 'colorizedImageId': 'DP0822202209064793M.tif', 'colorSeqNum': 2, 'skuId': '27114370034', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0822202209064896M.tif', 'colorSeq': 0}, {'imgId': 'DP0822202209064691M.tif', 'colorSeq': 1}, {'imgId': 'DP0717202407233696M.tif', 'colorSeq': 2}]}]",/p/ever-star-g-si1-si2-2-ct-tw-lab-grown-diamond-10k-or-14k-gold-round-stud-earrings/ppr5008151663?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,"[{'message': 'Online Only', 'icon': 'mouse'}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,271,True,1599.98,1599.98,STAYWARM,False,False,2021-10-22T17:03:37,DP0311202417012579M.tif,DP0311202417012683M.tif,available online only,,,,https://www.jcpenney.com/p/ever-star-g-si1-si2-2-ct-tw-lab-grown-diamond-10k-or-14k-gold-round-stud-earrings/ppr5008151663?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,20251229,diamond earrings
1/6 CT. T.W. Natural White Diamond 5.6mm Sterling Silver Stud Earrings,ppr5007667251,4.0252,119.0,66.65,66.65,124.98,124.98,SALE,False,False,2712172-ALLURE-EARRINGS,False,RED BOW DEAL!,"[{'name': 'Shop the Collection', 'priority': 1, 'urlParam': 'collection'}]",False,original,False,True,"['Features: In A Gift Box', 'Diamond Clarity: I3', 'Earring Back: Post', 'Setting: Prong', 'Shape: Round']",0.0,0.0,SALE,False,False,27121720018,USD,more brands,"[{'colorName': 'Yellow', 'swatchImageId': 'DP1115202411332461S.tif', 'colorizedImageId': 'DP0418202411071744M.tif', 'colorSeqNum': 1, 'skuId': '27121720018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0418202411072050M.tif', 'colorSeq': 0}, {'imgId': 'DP1009202407103259M.tif', 'colorSeq': 5}, {'imgId': 'DP0524202411073550M.tif', 'colorSeq': 6}]}, {'colorName': 'White', 'swatchImageId': 'DP1115202411332359S.tif', 'colorizedImageId': 'DP0418202411071232M.tif', 'colorSeqNum': 2, 'skuId': '27121710018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0418202411071540M.tif', 'colorSeq': 0}, {'imgId': 'DP1009202407103056M.tif', 'colorSeq': 5}, {'imgId': 'DP0524202411073448M.tif', 'colorSeq': 6}]}]",/p/1-6-ct-tw-natural-white-diamond-56mm-sterling-silver-stud-earrings/ppr5007667251?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,271,True,53.32,53.32,STAYWARM,False,False,2018-02-28T00:00:00,DP0418202411071744M.tif,DP0418202411072050M.tif,,,,,https://www.jcpenney.com/p/1-6-ct-tw-natural-white-diamond-56mm-sterling-silver-stud-earrings/ppr5007667251?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,20251229,diamond earrings
Classic Collection 1/4 CT. T.W. Natural White Diamond 10K Gold 3.4mm Stud Earrings,ppr5007275056,4.0588,17.0,233.32,233.32,449.98,449.98,SALE,False,False,,False,BONUS BUY!,"[{'name': 'Shop the Collection', 'priority': 1, 'urlParam': 'collection'}]",False,original,False,True,"['Diamond Clarity: I2-I3', 'Earring Back: Friction', 'Setting: Prong', 'Shape: Princess', 'Stone Cut: Princess']",0.0,0.0,SALE,False,False,27170370018,USD,more brands,"[{'colorName': 'White', 'swatchImageId': 'DP1115202411304249S.tif', 'colorizedImageId': 'DP0417202407183770M.tif', 'colorSeqNum': 1, 'skuId': '27112350018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0417202407184077M.tif', 'colorSeq': 2}, {'imgId': 'DP0417202407183666M.tif', 'colorSeq': 6}, {'imgId': 'DP0524202409263717M.tif', 'colorSeq': 8}]}, {'colorName': 'Yellow', 'swatchImageId': 'DP1115202411360574S.tif', 'colorizedImageId': 'DP0418202407184110M.tif', 'colorSeqNum': 2, 'skuId': '27170370018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0418202407184416M.tif', 'colorSeq': 2}, {'imgId': 'DP0418202407184008M.tif', 'colorSeq': 6}, {'imgId': 'DP0524202411095112M.tif', 'colorSeq': 8}]}]",/p/classic-collection-1-4-ct-tw-natural-white-diamond-10k-gold-34mm-stud-earrings/ppr5007275056?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,"[{'message': 'Online Only', 'icon': 'mouse'}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,271,True,186.65,186.65,STAYWARM,False,False,2017-08-25T00:00:00,DP0417202407183770M.tif,DP0417202407184077M.tif,available online only,,,,https://www.jcpenney.com/p/classic-collection-1-4-ct-tw-natural-white-diamond-10k-gold-34mm-stud-earrings/ppr5007275056?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,20251229,diamond earrings
Ever Star 1/2 CT. T.W. Lab-Grown (G / SI1-SI2) Diamond 10K or 14K Gold Round Stud Earrings,ppr5008031658,3.9167,12.0,416.65,583.32,874.98,999.98,SALE,False,False,2712192_V_VA_WHITE,False,,,False,original,False,True,"['Features: Quick Ship', 'Diamond Clarity: Si1-Si2', 'Earring Back: Friction', 'Setting: Prong', 'Shape: Round']",0.0,0.0,SALE,False,False,27113400018,USD,ever star,"[{'colorName': 'White', 'swatchImageId': 'DP1115202411333791S.tif', 'colorizedImageId': 'DP0311202417013198M.tif', 'colorSeqNum': 1, 'skuId': '27121920018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0707202507033018M.tif', 'colorSeq': 0}, {'imgId': 'DP0311202417013301M.tif', 'colorSeq': 1}, {'imgId': 'DP0707202507033122M.tif', 'colorSeq': 2}]}, {'colorName': 'Yellow', 'swatchImageId': 'DP1115202411312431S.tif', 'colorizedImageId': 'DP0418202407151099M.tif', 'colorSeqNum': 2, 'skuId': '27113400018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0707202507030410M.tif', 'colorSeq': 0}, {'imgId': 'DP0418202407151404M.tif', 'colorSeq': 1}, {'imgId': 'DP0418202407151200M.tif', 'colorSeq': 2}]}]",/p/ever-star-1-2-ct-tw-lab-grown-g-si1-si2-diamond-10k-or-14k-gold-round-stud-earrings/ppr5008031658?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,271,True,466.65,333.32,STAYWARM,False,False,2020-10-12T17:06:05,DP0311202417013198M.tif,DP0707202507033018M.tif,,,,,https://www.jcpenney.com/p/ever-star-1-2-ct-tw-lab-grown-g-si1-si2-diamond-10k-or-14k-gold-round-stud-earrings/ppr5008031658?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,20251229,diamond earrings
"(F, Si1-Si2) Womens 2 CT. T.W. Lab Grown White Diamond 14K Gold Over Silver 23.4mm Hoop Earrings",ppr5008630697,5.0,1.0,499.98,499.98,1124.98,1124.98,SALE,False,False,,False,BONUS BUY!,,False,original,False,True,"['Diamond Clarity: Si1-Si2', 'Earring Back: Hinged', 'Setting: Prong', 'Stone Cut: Round', 'Diamond Color: F']",0.0,0.0,SALE,False,False,29322160026,USD,more brands,"[{'colorName': 'Gold Over Silver', 'swatchImageId': 'DP0825202517020570S.tif', 'colorizedImageId': 'DP0825202517020153M.tif', 'colorSeqNum': 1, 'skuId': '29322160026', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0825202517020466M.tif', 'colorSeq': 0}, {'imgId': 'DP0825202517020257M.tif', 'colorSeq': 1}, {'imgId': 'DP0825202517020361M.tif', 'colorSeq': 2}]}, {'colorName': 'Sterling Silver', 'swatchImageId': 'DP0825202517015944S.tif', 'colorizedImageId': 'DP0825202517015525M.tif', 'colorSeqNum': 2, 'skuId': '29307770018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP0825202517015839M.tif', 'colorSeq': 0}, {'imgId': 'DP0825202517015629M.tif', 'colorSeq': 1}, {'imgId': 'DP0825202517015734M.tif', 'colorSeq': 2}]}]",/p/f-si1-si2-womens-2-ct-tw-lab-grown-white-diamond-14k-gold-over-silver-234mm-hoop-earrings/ppr5008630697?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,293,True,399.98,399.98,STAYWARM,False,False,2025-11-03T11:10:00,DP0825202517020153M.tif,DP0825202517020466M.tif,,"[{'name': 'NEW', 'priority': 1, 'urlParam': 'new'}]",,,https://www.jcpenney.com/p/f-si1-si2-womens-2-ct-tw-lab-grown-white-diamond-14k-gold-over-silver-234mm-hoop-earrings/ppr5008630697?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,20251229,diamond earrings
Silver Reflections 24K Gold Over Brass 40MM Diamond Cut  Hoop Earrings,ppr5007251886,4.3333,36.0,50.0,50.0,50.0,50.0,ORIGINAL,False,False,,False,,,False,original,False,True,"['# Pieces In Set: 1 Pair', 'Features: In A Gift Box, Nickel Free', 'Earring Back: Hinged', 'Metal Color: Gold Tone', 'Earring Length: 40mm']",0.0,0.0,ORIGINAL,False,False,05802270018,USD,silver reflections,"[{'colorName': 'Gold', 'swatchImageId': 'DP0316202011001375S.tif', 'colorizedImageId': 'DP0727202107042767M.tif', 'colorSeqNum': 1, 'skuId': '05802270018', 'defaultSwatch': False, 'skuAltImages': [{'imgId': 'DP1016202407030907M.tif', 'colorSeq': 0}, {'imgId': 'DP1016202407030805M.tif', 'colorSeq': 1}, {'imgId': 'DP0710202307034794M.tif', 'colorSeq': 3}]}]",/p/silver-reflections-24k-gold-over-brass-40mm-diamond-cut-hoop-earrings/ppr5007251886?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,"[{'message': '<span>FREE</span> Same Day Pickup', 'icon': 'check', 'findAStore': True}, {'message': 'Available for Shipping', 'icon': 'check'}]",False,058,True,25.0,25.0,1FASHION,False,False,2017-11-23T00:00:00,DP0727202107042767M.tif,DP1016202407030907M.tif,,,,,https://www.jcpenney.com/p/silver-reflections-24k-gold-over-brass-40mm-diamond-cut-hoop-earrings/ppr5007251886?pTmplType=regular&searchTerm=diamond+earrings&geoZip=55057,20251229,diamond earrings
