,0
Comparability,0.24909149762166685
Subsession  Q2-K3,0.22494739627854227
Difficulty,0.2068058420789197
Q1 Quality (Voted),0.09413144132531401
Q1 Quality (prescreen),0.06307547290359528
Caliber Q2-K3,0.03584342940230854
Caliber Q1,0.03022619373127757
Phase,0.0292946029444761
Intervening bullets (max),0.0172903413541708
Assigns (Baseline),0.010325741864629001
Intervening bullets (min),0.009548745004955306
Assigns (total),0.009423371161987415
Assigns (Baseline+Repeat),0.003679414193330355
Type,0.0
