,0
Difficulty,0.2040769677901742
Subsession  Q2-K3,0.13763270690539217
Caliber Q1,0.07530767658745459
Caliber Q2-K3,0.06969578779524047
Q2 Quality (Voted),0.04141988538534682
Phase,0.037165799653194644
Q1 Quality (prescreen),0.03311221491654766
Intervening bullets (max),0.03166208868868654
Q1 Quality (Voted),0.025679649229722545
Intervening bullets (min),0.02529570605000415
Q2 Quality (prescreen),0.02304837286596597
Assigns (total),0.009022539902811277
Assigns (Baseline),0.0066794179445479164
Assigns (Baseline+Repeat),0.0032342282478741826
Type,0.0
