,0
Comparability,0.20623871506723795
Intervening bullets (max),0.0789301997291162
Difficulty,0.05159724852786794
Subsession  Q2-K3,0.04940041295700289
Q1 Quality (prescreen),0.0323844830149555
Q1 Quality (Voted),0.02175085533090909
Caliber Q2-K3,0.015006678227524838
Assigns (total),0.011856692595327867
Intervening bullets (min),0.005993175520654948
Phase,0.005494738416659017
Caliber Q1,0.0039095261410745374
Assigns (Baseline+Repeat),0.0009407655904288715
Assigns (Baseline),0.0009351335327566157
Type,0.0
