,0
Difficulty,0.105704921524053
Intervening bullets (min),0.0582066054509706
Intervening bullets (max),0.0478468022723109
Q2 Quality (prescreen),0.01260016888796448
Caliber Q1,0.012146684892699322
Subsession  Q2-K3,0.00818122272905133
Phase,0.0053715411398205124
Q1 Quality (Voted),0.00325716040394447
Caliber Q2-K3,0.0020306796626203827
Q1 Quality (prescreen),0.0017096191848804398
Type,0.0
Q2 Quality (Voted),-0.0010830374079410787
Assigns (total),-0.003224162865449187
Assigns (Baseline+Repeat),-0.007359193993333546
Assigns (Baseline),-0.017442077866761663
