,0
Caliber Q2-K3,0.056071670901247664
Intervening bullets (max),0.05288403439173099
Intervening bullets (min),0.04983612667092606
Caliber Q1,0.04419268086118007
Q1 Quality (Voted),0.007634689389774618
Subsession  Q2-K3,0.004244176832137347
Assigns (total),0.003241683134481421
Q2 Quality (prescreen),0.002610334358547717
Assigns (Baseline),0.0003709591944886292
Type,0.0
Q1 Quality (prescreen),-6.494262266663054e-05
Assigns (Baseline+Repeat),-0.001139374668786397
Q2 Quality (Voted),-0.0044305231564714664
