,0
Cset Category (Detailed),0.16957132471144032
Comparability,0.08293525889145964
Difficulty,0.019366738702501107
Intervening bullets (max),0.007798583083297217
Intervening bullets (min),0.003915400437786487
Phase,0.003290363155684295
Cset Quality (prescreen),0.0009996902368280102
Cset.1,0.0008854745296247967
Q2 Quality (Voted),0.0
Q2 Quality (prescreen),0.0
Type,0.0
Assigns (Baseline),-8.121063804855666e-05
Cset,-0.0012861379012348406
Q1 Quality (Voted),-0.0024096122873330183
Assigns (Baseline+Repeat),-0.0024712318430485047
Q1 Quality (prescreen),-0.0026301709329503487
Cset Quality (voted),-0.0027785120648667226
Assigns (total),-0.003010334825828609
Subsession  Q2-K3,-0.0048725171633929535
Caliber Q1,-0.00739489172369121
Caliber Q2-K3,-0.010086682212357024
