,0
Comparability,0.14897161957691138
Difficulty,0.07973936896124571
Subsession  Q2-K3,0.04624930696924747
Q1 Quality (Voted),0.03487506370129752
Intervening bullets (max),0.02907331758173983
Q1 Quality (prescreen),0.021332054311203896
Intervening bullets (min),0.012729237616210375
Caliber Q1,0.004859981293090188
Assigns (total),0.004120152986065506
Caliber Q2-K3,0.00290408272705448
Phase,0.0014498006524103046
Type,0.0
Assigns (Baseline),-0.001617975105699454
Assigns (Baseline+Repeat),-0.0019296761899917025
