,0
Difficulty,0.03896972150820417
Intervening bullets (min),0.011819557325329699
Intervening bullets (max),0.010640808483029429
Cset,0.009255654775170985
Subsession  Q2-K3,0.0068447914654620745
Cset Category (Detailed),0.006821451743111962
Caliber Q1,0.00517665136274259
Cset.1,0.003420971823940455
Phase,0.0019744043108528954
Caliber Q2-K3,0.0013161869951314297
Type,0.0
Q2 Quality (prescreen),-0.0014403766053024182
Assigns (total),-0.0031178030696997205
Assigns (Baseline+Repeat),-0.003494829353817841
Q1 Quality (Voted),-0.005980416920493903
Assigns (Baseline),-0.006035268363470692
Q1 Quality (prescreen),-0.006105720894066169
Q2 Quality (Voted),-0.008909459211823168
Cset Quality (prescreen),-0.009441010554259643
Cset Quality (voted),-0.01164324027160758
