,0
Difficulty,0.0705049056753289
Intervening bullets (min),0.04176664982739742
Intervening bullets (max),0.0377337686779687
Caliber Q2-K3,0.03461720378982602
Caliber Q1,0.032163251761932334
Subsession  Q2-K3,0.006737379215389083
Phase,0.002706355338295885
Type,0.0
Q2 Quality (prescreen),-0.003907762903090073
Assigns (total),-0.00426770228172102
Assigns (Baseline+Repeat),-0.006353419114551684
Assigns (Baseline),-0.007551297861908146
Q1 Quality (Voted),-0.011369416420268586
Q2 Quality (Voted),-0.013564278957352127
Q1 Quality (prescreen),-0.021151669811647865
