,0
Mating,0.13977538059213596
Difficulty,0.05602689829083775
Cset Category (Detailed),0.01397310170916225
Comparability,0.012073876902960712
Phase,0.005768189035210624
Caliber Q1,0.005681329971046989
Intervening bullets (min),0.0028219856168861467
Intervening bullets (max),-0.0006416363126926395
Q2 Quality (prescreen),-0.005486597553002714
Type,-0.007967217708041452
ResponseType,-0.008650882600168086
Cset Quality (prescreen),-0.012223778836275323
Q1 Quality (prescreen),-0.012561408424395237
Cset Quality (voted),-0.016321565331091803
